観測日時,チャネルID,見出し,リンク,判定
2026-09-16 07:37,expo2027,2026.09.04 委託等,https://expo2027yokohama.or.jp/contract/detail/20260904-001320.html,未登録
2026-09-16 07:37,expo2027,【質問回答】２０２７年国際園芸博覧会の植物サイン作成・設置・管理業務委託の一般競争入札について,,既知
2026-09-16 07:37,expo2027,GREEN×EXPO 2027 会場内学習プログラム開発及び運営業務委託の公募型プロポーザルについて,,既知
2026-09-16 07:37,expo2027,２０２７年国際園芸博覧会 上川井瀬谷１号線ほか3か所道路改良工事に関する入札公告について,,未登録
2026-09-16 07:37,expo2027,2026.09.01 委託等,https://expo2027yokohama.or.jp/contract/detail/20260901-001077.html,未登録
2026-09-16 07:37,expo2027,【最優秀提案事業者決定】２０２７年国際園芸博覧会 国際出展タイプ１（International Garden Type） 展示施工及び運営業務委託の公募型プロポーザルについて,,未登録
2026-09-16 07:37,expo2027,2026.08.31 委託等,https://expo2027yokohama.or.jp/contract/detail/20260831-000761.html,未登録
2026-09-16 07:37,expo2027,【入札結果】２０２７年国際園芸博覧会 国旗等の製作及び運営業務委託の一般競争入札について,,未登録
2026-09-16 07:37,expo2027,2026.08.28 委託等,https://expo2027yokohama.or.jp/contract/detail/20260828-001324.html,未登録
2026-09-16 07:37,expo2027,GREEN×EXPO 2027メディアセンター関連業務委託の公募型プロポーザルについて,,既知
2026-09-16 07:37,expo2027,２０２７年国際園芸博覧会 会場周辺警備業務について,,未登録
2026-09-16 07:37,expo2027,2026.08.27 委託等,https://expo2027yokohama.or.jp/contract/detail/20260827-001348.html,未登録
2026-09-16 07:37,expo2027,２０２７年国際園芸博覧会 主催者催事「おまつり歳時記プロジェクト（仮）」にかかる実施計画作成業務委託の公募型プロポーザルについて,,未登録
2026-09-16 07:37,expo2027,【最優秀提案事業者決定】２０２７年国際園芸博覧会賓客接遇業務委託の公募型プロポーザルについて,,未登録
2026-09-16 07:37,expo2027,2026.08.25 委託等,https://expo2027yokohama.or.jp/contract/detail/20260825-001336.html,未登録
2026-09-16 07:37,expo2027,2027年国際園芸博覧会 損害保険付保公募について,,未登録
2026-09-16 07:37,expo2027,2026.08.24 委託等,https://expo2027yokohama.or.jp/contract/detail/20260824-001328.html,未登録
2026-09-16 07:37,expo2027,２０２７年国際園芸博覧会 屋内出展施設監視カメラ設置業務の一般競争入札について,,未登録
2026-09-16 07:37,expo2027,２０２７年国際園芸博覧会 公式ガイドブック企画・編集・制作および出版業務委託の公募型プロポーザルについて,,既知
2026-09-16 07:37,expo2027,【質問回答】2026年度 国際園芸博覧会に係る環境影響評価支援業務委託の一般競争入札について,,未登録
2026-09-16 07:37,expo2027,2026.08.21 委託等,https://expo2027yokohama.or.jp/contract/detail/20260821-001325.html,未登録
2026-09-16 07:37,expo2027,屋内出展施設運営スタッフユニフォーム制作業務委託の一般競争入札について,,既知
2026-09-16 07:37,expo2027,2026.08.18 委託等,https://expo2027yokohama.or.jp/contract/detail/20260818-001136.html,未登録
2026-09-16 07:37,expo2027,2027年国際園芸博覧会 屋内出展施設におけるパーテーション設置業務の一般競争入札について,,未登録
2026-09-16 07:37,jetro-proc,入札参加資格について,https://www.jetro.go.jp/procurement/registration.html,未登録
2026-09-16 07:37,jetro-proc,アジア経済研究所図書館製本業務,https://www.jetro.go.jp/procurement/bid/aia/5dca9425ef472dc6.html,未登録
2026-09-16 07:37,jetro-proc,労働者派遣業務（研究企画部研究管理課）,https://www.jetro.go.jp/procurement/bid/hra/457ab594aa256a63.html,未登録
2026-09-16 07:37,jetro-proc,労働者派遣業務（企画部企画課）,https://www.jetro.go.jp/procurement/bid/hra/402af28a3441ffc0.html,未登録
2026-09-16 07:37,jetro-proc,「2027年ベオグラード国際博覧会」日本館行催事業務,https://www.jetro.go.jp/procurement/publicoffer/ode/fb7b1b718a1d1371.html,既知
2026-09-16 07:37,jetro-proc,育成講座「E-commerce Academy」の専門家業務の公募,https://www.jetro.go.jp/procurement/publicoffer/dne/9bc00e38320b894d.html,未登録
2026-09-16 07:37,jetro-proc,「高度外国人材スペシャリスト業務」に係る業務委託先の追加公募,https://www.jetro.go.jp/procurement/publicoffer/igb/be8815cf7e22f236.html,未登録
2026-09-16 07:37,jetro-proc,英語による公募情報は,,未登録
2026-09-16 07:37,smrj-proc,調達・公募情報 | 独立行政法人 中小企業基盤整備機構,,未登録
2026-09-16 23:07,chancenavi,ビジネスチャンス・ナビは、官民の入札・調達情報を一元的に集約した,,未登録
2026-09-16 23:07,chancenavi,「Tokyo Tokyo Delicious Museum 2027」企画運営業務に係る受託事業者の募集,,既知
2026-09-16 23:07,chancenavi,TOKYO LIGHTS 2027企画・運営等業務委託 事業者の募集,,既知
2026-09-16 23:07,chancenavi,「多摩の森」活性化プロジェクト機運醸成事業に係る業務委託事業者の募集,,既知
2026-09-16 23:07,chancenavi,世田谷区立教育相談室玉川分室改修工事実施設計業務委託,,未登録
2026-09-16 23:07,chancenavi,世田谷区立丸山区民集会所改修工事実施設計業務委託,,未登録
2026-09-16 23:07,chancenavi,現在、募集中の入札・発注情報はありません。,,未登録
2026-09-16 23:07,chancenavi,会場計画等基本検討業務委託,,未登録
2026-09-16 23:07,chancenavi,令和8年度産休・育業代替教員等確保支援業務に係る労働者派遣（単価契約）,,未登録
2026-09-16 23:07,chancenavi,都営バス車両におけるＺＥＶ化推進に関する調査委託,,未登録
2026-09-16 23:07,chancenavi,国・独立行政法人等入札情報の検索画面,,未登録
2026-09-16 23:07,chancenavi,入札・発注 案件数（募集中）,,未登録
2026-09-16 23:07,chancenavi,入札、発注案件数（募集中）タブ,,未登録
2026-09-16 23:07,chancenavi,東京2020組織委員会 （電子入札）,,未登録
2026-09-16 23:07,chancenavi,都外郭団体等 （電子入札）,,未登録
2026-09-16 23:07,chancenavi,都・都内区市町村等 （入札情報）,,未登録
2026-09-16 23:07,chancenavi,入札・発注案件を探す,,未登録
2026-09-16 23:07,tokyo-sangyo-rodo,広域的な観光案内拠点（秋葉原地域）を整備・運営する事業者の募集について,,未登録
2026-09-16 23:07,tokyo-startup,SusHi Tech Tokyo2025に関する企画等業務に係る委託事業者の募集,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/sushitechtokyo2025,未登録
2026-09-16 23:07,tokyo-startup,SusHi Tech Tokyo 2027に関する企画・運営等業務に係る委託事業者の募集,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/sushitechtokyo2027,既知
2026-09-16 23:07,tokyo-startup,TIBにおけるエコシステムプレイヤーのネットワーク形成に係るコーディネート事業者の募集,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/tokyo-innovation-base-fp5-r8,未登録
2026-09-16 23:07,tokyo-startup,TIBにおける全国・世界の大学とのネットワーク形成に係るコーディネート事業者の募集,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/tokyo-innovation-base-fp2,未登録
2026-09-16 23:07,tokyo-startup,TIBにおけるテストマーケティング等プロジェクト実施事業者の募集,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/tokyo-innovation-base-shop8,未登録
2026-09-16 23:07,tokyo-startup,TIBオープンイノベーション導入・促進プログラム実施事業者の募集,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/tokyo-innovation-base-oip-r8,未登録
2026-09-16 23:07,tokyo-startup,令和８年度 SusHi Tech Global事務局の公募について,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/r8sushitechglobaljimukyoku,未登録
2026-09-16 23:07,tokyo-startup,SusHi Tech Global成長加速プログラム（第２期）運営事業者の公募について,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/growth-acceleration-program-02,未登録
2026-09-16 23:07,tokyo-startup,SusHi Tech Globalの対象スタートアップのうち、将来的にユニコーンになり得る有望なスタートアップに対して実施する成長加速プログラム（第２期）運営事業者を募集します。,,未登録
2026-09-16 23:07,tokyo-startup,SusHi Tech Global成長加速プログラム（第３期）運営事業者の公募について,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/growth-acceleration-program-03,未登録
2026-09-16 23:07,tokyo-startup,SusHi Tech Globalの対象スタートアップのうち、将来的にユニコーンになり得る有望なスタートアップに対して実施する成長加速プログラム（第３期）運営事業者を募集します。,,未登録
2026-09-16 23:07,tokyo-startup,キングサーモンプロジェクト（社会課題チャレンジコース）事務局事業者の公募について,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/kingsalmon-social-jimukyoku08,未登録
2026-09-16 23:07,tokyo-startup,令和８年度スタートアップエコシステムのグローバル化に向けた海外投資家等コネクティングプロジェクトに係る事業者公募開始について,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/connecting-project-2026,未登録
2026-09-16 23:07,tokyo-startup,スタートアップキャリアフェア2026 運営事業者の募集を開始いたします。,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/-startupcareerfair_2026/coordinator,未登録
2026-09-16 23:07,tokyo-startup,スタートアップエコシステムのグローバル化に向けた海外VC等コネクティングプロジェクトに係る事業者公募開始について,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/connecting-project-2025,未登録
2026-09-16 23:07,expo2027,2026.09.17 委託等,https://expo2027yokohama.or.jp/contract/detail/20260917-001544.html,未登録
2026-09-16 23:07,expo2027,2026.09.16 委託等,https://expo2027yokohama.or.jp/contract/detail/20260916-001417.html,未登録
2026-09-16 23:07,expo2027,２０２７年国際園芸博覧会 協会警備隊資機材賃貸借契約の一般競争入札について,,未登録
2026-09-16 23:07,expo2027,２０２７年国際園芸博覧会 協会警備隊資機材賃貸借契約 その２の一般競争入札について,,未登録
2026-09-16 23:07,expo2027,2026.09.14 委託等,https://expo2027yokohama.or.jp/contract/detail/20260914-001419.html,未登録
2026-09-16 23:07,expo2027,２０２７年国際園芸博覧会 車両検査場等に係る賃貸借の一般競争入札について,,未登録
2026-09-16 23:07,expo2027,２０２７年国際園芸博覧会 外周フェンス侵入探知センサー設置等に係る業務委託の一般競争入札について,,未登録
2026-09-16 23:07,expo2027,2026.09.09 委託等,https://expo2027yokohama.or.jp/contract/detail/20260909-001352.html,未登録
2026-09-16 23:07,expo2027,【質問回答】２０２７年国際園芸博覧会賓客車両運行管理業務委託の一般競争入札について,,未登録
2026-09-16 23:07,expo2027,2026.09.04 委託等,https://expo2027yokohama.or.jp/contract/detail/20260904-001320.html,未登録
2026-09-16 23:07,expo2027,【質問回答】２０２７年国際園芸博覧会の植物サイン作成・設置・管理業務委託の一般競争入札について,,既知
2026-09-16 23:07,expo2027,GREEN×EXPO 2027 会場内学習プログラム開発及び運営業務委託の公募型プロポーザルについて,,既知
2026-09-16 23:07,expo2027,２０２７年国際園芸博覧会 上川井瀬谷１号線ほか3か所道路改良工事に関する入札公告について,,未登録
2026-09-16 23:07,expo2027,2026.09.01 委託等,https://expo2027yokohama.or.jp/contract/detail/20260901-001077.html,未登録
2026-09-16 23:07,expo2027,【最優秀提案事業者決定】２０２７年国際園芸博覧会 国際出展タイプ１（International Garden Type） 展示施工及び運営業務委託の公募型プロポーザルについて,,未登録
2026-09-16 23:07,expo2027,2026.08.31 委託等,https://expo2027yokohama.or.jp/contract/detail/20260831-000761.html,未登録
2026-09-16 23:07,expo2027,【入札結果】２０２７年国際園芸博覧会 国旗等の製作及び運営業務委託の一般競争入札について,,未登録
2026-09-16 23:07,expo2027,2026.08.28 委託等,https://expo2027yokohama.or.jp/contract/detail/20260828-001324.html,未登録
2026-09-16 23:07,expo2027,GREEN×EXPO 2027メディアセンター関連業務委託の公募型プロポーザルについて,,既知
2026-09-16 23:07,expo2027,２０２７年国際園芸博覧会 会場周辺警備業務について,,未登録
2026-09-16 23:07,expo2027,2026.08.27 委託等,https://expo2027yokohama.or.jp/contract/detail/20260827-001348.html,未登録
2026-09-16 23:07,expo2027,２０２７年国際園芸博覧会 主催者催事「おまつり歳時記プロジェクト（仮）」にかかる実施計画作成業務委託の公募型プロポーザルについて,,未登録
2026-09-16 23:07,expo2027,【最優秀提案事業者決定】２０２７年国際園芸博覧会賓客接遇業務委託の公募型プロポーザルについて,,未登録
2026-09-16 23:07,expo2027,2026.08.25 委託等,https://expo2027yokohama.or.jp/contract/detail/20260825-001336.html,未登録
2026-09-16 23:07,expo2027,2027年国際園芸博覧会 損害保険付保公募について,,未登録
2026-09-16 23:07,expo2027,2026.08.24 委託等,https://expo2027yokohama.or.jp/contract/detail/20260824-001328.html,未登録
2026-09-16 23:07,expo2027,２０２７年国際園芸博覧会 屋内出展施設監視カメラ設置業務の一般競争入札について,,未登録
2026-09-16 23:07,expo2027,２０２７年国際園芸博覧会 公式ガイドブック企画・編集・制作および出版業務委託の公募型プロポーザルについて,,既知
2026-09-16 23:07,expo2027,【質問回答】2026年度 国際園芸博覧会に係る環境影響評価支援業務委託の一般競争入札について,,未登録
2026-09-16 23:07,expo2027,2026.08.21 委託等,https://expo2027yokohama.or.jp/contract/detail/20260821-001325.html,未登録
2026-09-16 23:07,expo2027,屋内出展施設運営スタッフユニフォーム制作業務委託の一般競争入札について,,既知
2026-09-16 23:07,jetro-proc,入札参加資格について,https://www.jetro.go.jp/procurement/registration.html,未登録
2026-09-16 23:07,jetro-proc,アジア経済研究所図書館製本業務,https://www.jetro.go.jp/procurement/bid/aia/5dca9425ef472dc6.html,未登録
2026-09-16 23:07,jetro-proc,労働者派遣業務（研究企画部研究管理課）,https://www.jetro.go.jp/procurement/bid/hra/457ab594aa256a63.html,未登録
2026-09-16 23:07,jetro-proc,労働者派遣業務（企画部企画課）,https://www.jetro.go.jp/procurement/bid/hra/402af28a3441ffc0.html,未登録
2026-09-16 23:07,jetro-proc,「2027年ベオグラード国際博覧会」日本館行催事業務,https://www.jetro.go.jp/procurement/publicoffer/ode/fb7b1b718a1d1371.html,既知
2026-09-16 23:07,jetro-proc,育成講座「E-commerce Academy」の専門家業務の公募,https://www.jetro.go.jp/procurement/publicoffer/dne/9bc00e38320b894d.html,未登録
2026-09-16 23:07,jetro-proc,「高度外国人材スペシャリスト業務」に係る業務委託先の追加公募,https://www.jetro.go.jp/procurement/publicoffer/igb/be8815cf7e22f236.html,未登録
2026-09-16 23:07,jetro-proc,英語による公募情報は,,未登録
2026-09-16 23:07,smrj-proc,調達・公募情報 | 独立行政法人 中小企業基盤整備機構,,未登録
2026-09-17 23:13,chancenavi,ビジネスチャンス・ナビは、官民の入札・調達情報を一元的に集約した,,未登録
2026-09-17 23:13,chancenavi,「Tokyo Tokyo Delicious Museum 2027」企画運営業務に係る受託事業者の募集,,既知
2026-09-17 23:13,chancenavi,TOKYO LIGHTS 2027企画・運営等業務委託 事業者の募集,,既知
2026-09-17 23:13,chancenavi,「多摩の森」活性化プロジェクト機運醸成事業に係る業務委託事業者の募集,,既知
2026-09-17 23:13,chancenavi,令和８年度構造躯体等劣化調査業務委託（松江保育園 外４園）,,未登録
2026-09-17 23:13,chancenavi,現在、募集中の入札・発注情報はありません。,,未登録
2026-09-17 23:13,chancenavi,2026年度小平霊園樹木処理委託（単価契約）,,未登録
2026-09-17 23:13,chancenavi,2026年度芝公園ほか1公園樹木管理委託（単価契約）,,未登録
2026-09-17 23:13,chancenavi,カラー舗装清掃委託(橋りょう部),,未登録
2026-09-17 23:13,chancenavi,東京都板橋都税事務所外２か所ネットワーク設備に係る調査等作業委託,,未登録
2026-09-17 23:13,chancenavi,国・独立行政法人等入札情報の検索画面,,未登録
2026-09-17 23:13,chancenavi,入札・発注 案件数（募集中）,,未登録
2026-09-17 23:13,chancenavi,入札、発注案件数（募集中）タブ,,未登録
2026-09-17 23:13,chancenavi,東京2020組織委員会 （電子入札）,,未登録
2026-09-17 23:13,chancenavi,都外郭団体等 （電子入札）,,未登録
2026-09-17 23:13,chancenavi,都・都内区市町村等 （入札情報）,,未登録
2026-09-17 23:13,chancenavi,入札・発注案件を探す,,未登録
2026-09-17 23:13,tokyo-sangyo-rodo,広域的な観光案内拠点（秋葉原地域）を整備・運営する事業者の募集について,,未登録
2026-09-17 23:13,tokyo-startup,SusHi Tech Tokyo2025に関する企画等業務に係る委託事業者の募集,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/sushitechtokyo2025,未登録
2026-09-17 23:13,tokyo-startup,SusHi Tech Tokyo 2027に関する企画・運営等業務に係る委託事業者の募集,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/sushitechtokyo2027,既知
2026-09-17 23:13,tokyo-startup,TIBにおけるエコシステムプレイヤーのネットワーク形成に係るコーディネート事業者の募集,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/tokyo-innovation-base-fp5-r8,未登録
2026-09-17 23:13,tokyo-startup,TIBにおける全国・世界の大学とのネットワーク形成に係るコーディネート事業者の募集,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/tokyo-innovation-base-fp2,未登録
2026-09-17 23:13,tokyo-startup,TIBにおけるテストマーケティング等プロジェクト実施事業者の募集,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/tokyo-innovation-base-shop8,未登録
2026-09-17 23:13,tokyo-startup,TIBオープンイノベーション導入・促進プログラム実施事業者の募集,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/tokyo-innovation-base-oip-r8,未登録
2026-09-17 23:13,tokyo-startup,令和８年度 SusHi Tech Global事務局の公募について,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/r8sushitechglobaljimukyoku,未登録
2026-09-17 23:13,tokyo-startup,SusHi Tech Global成長加速プログラム（第２期）運営事業者の公募について,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/growth-acceleration-program-02,未登録
2026-09-17 23:13,tokyo-startup,SusHi Tech Globalの対象スタートアップのうち、将来的にユニコーンになり得る有望なスタートアップに対して実施する成長加速プログラム（第２期）運営事業者を募集します。,,未登録
2026-09-17 23:13,tokyo-startup,SusHi Tech Global成長加速プログラム（第３期）運営事業者の公募について,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/growth-acceleration-program-03,既知
2026-09-17 23:13,tokyo-startup,SusHi Tech Globalの対象スタートアップのうち、将来的にユニコーンになり得る有望なスタートアップに対して実施する成長加速プログラム（第３期）運営事業者を募集します。,,未登録
2026-09-17 23:13,tokyo-startup,キングサーモンプロジェクト（社会課題チャレンジコース）事務局事業者の公募について,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/kingsalmon-social-jimukyoku08,未登録
2026-09-17 23:13,tokyo-startup,令和８年度スタートアップエコシステムのグローバル化に向けた海外投資家等コネクティングプロジェクトに係る事業者公募開始について,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/connecting-project-2026,未登録
2026-09-17 23:13,tokyo-startup,スタートアップキャリアフェア2026 運営事業者の募集を開始いたします。,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/-startupcareerfair_2026/coordinator,未登録
2026-09-17 23:13,tokyo-startup,スタートアップエコシステムのグローバル化に向けた海外VC等コネクティングプロジェクトに係る事業者公募開始について,https://www.startupandglobalfinancialcity.metro.tokyo.lg.jp/startup/initiatives/connecting-project-2025,未登録
2026-09-17 23:13,expo2027,2026.09.17 委託等,https://expo2027yokohama.or.jp/contract/detail/20260917-001544.html,未登録
2026-09-17 23:13,expo2027,2026.09.16 委託等,https://expo2027yokohama.or.jp/contract/detail/20260916-001417.html,未登録
2026-09-17 23:13,expo2027,２０２７年国際園芸博覧会 協会警備隊資機材賃貸借契約の一般競争入札について,,未登録
2026-09-17 23:13,expo2027,２０２７年国際園芸博覧会 協会警備隊資機材賃貸借契約 その２の一般競争入札について,,未登録
2026-09-17 23:13,expo2027,2026.09.14 委託等,https://expo2027yokohama.or.jp/contract/detail/20260914-001419.html,未登録
2026-09-17 23:13,expo2027,２０２７年国際園芸博覧会 車両検査場等に係る賃貸借の一般競争入札について,,未登録
2026-09-17 23:13,expo2027,２０２７年国際園芸博覧会 外周フェンス侵入探知センサー設置等に係る業務委託の一般競争入札について,,未登録
2026-09-17 23:13,expo2027,2026.09.09 委託等,https://expo2027yokohama.or.jp/contract/detail/20260909-001352.html,未登録
2026-09-17 23:13,expo2027,【質問回答】２０２７年国際園芸博覧会賓客車両運行管理業務委託の一般競争入札について,,未登録
2026-09-17 23:13,expo2027,2026.09.04 委託等,https://expo2027yokohama.or.jp/contract/detail/20260904-001320.html,未登録
2026-09-17 23:13,expo2027,【質問回答】２０２７年国際園芸博覧会の植物サイン作成・設置・管理業務委託の一般競争入札について,,既知
2026-09-17 23:13,expo2027,GREEN×EXPO 2027 会場内学習プログラム開発及び運営業務委託の公募型プロポーザルについて,,既知
2026-09-17 23:13,expo2027,２０２７年国際園芸博覧会 上川井瀬谷１号線ほか3か所道路改良工事に関する入札公告について,,未登録
2026-09-17 23:13,expo2027,2026.09.01 委託等,https://expo2027yokohama.or.jp/contract/detail/20260901-001077.html,未登録
2026-09-17 23:13,expo2027,【最優秀提案事業者決定】２０２７年国際園芸博覧会 国際出展タイプ１（International Garden Type） 展示施工及び運営業務委託の公募型プロポーザルについて,,未登録
2026-09-17 23:13,expo2027,2026.08.31 委託等,https://expo2027yokohama.or.jp/contract/detail/20260831-000761.html,未登録
2026-09-17 23:13,expo2027,【入札結果】２０２７年国際園芸博覧会 国旗等の製作及び運営業務委託の一般競争入札について,,未登録
2026-09-17 23:13,expo2027,2026.08.28 委託等,https://expo2027yokohama.or.jp/contract/detail/20260828-001324.html,未登録
2026-09-17 23:13,expo2027,GREEN×EXPO 2027メディアセンター関連業務委託の公募型プロポーザルについて,,既知
2026-09-17 23:13,expo2027,２０２７年国際園芸博覧会 会場周辺警備業務について,,未登録
2026-09-17 23:13,expo2027,2026.08.27 委託等,https://expo2027yokohama.or.jp/contract/detail/20260827-001348.html,未登録
