締切,開始,タイトル,対象地域,上限額,従業員,id,ヒット語
2026-09-14,2026-07-28,令和８年度 脱炭素成長型経済構造移行推進対策費補助金（自律型資源循環システム強靱化促進事業）,全国,20000000000,従業員数の制約なし,a0WJ200000CDYlTMAX,ものづくり
2026-09-16,2026-08-19,2026年度「中小企業競争力強化促進事業業」（マーケティング支援事業）［2次募集］,北海道,2000000,300名以下,a0WJ200000CDYmSMAX,海外
2026-09-18,2026-06-18,【令和７年度】二酸化炭素排出抑制対策事業費等補助金（水インフラにおける脱炭素化推進事業）［四次公募］,全国,,従業員数の制約なし,a0WJ200000CDb6JMAT,地域資源
2026-09-25,2026-08-25,②化石資源由来プラスチックを代替する再生可能資源由来素材 の省CO2型製造設備導入事業（バリューチェーン）【令和７年度（補正予算）第４次公募及び令和８年度第３次公募】,全国,7297000000,従業員数の制約なし,a0WJ200000CDYjRMAX,輸出
2026-09-25,2026-06-27,令和８年度「水力発電導入促進支援事業費補助金（事業性評価支援事業）」（新規事業　３次締切分）,全国,20000000,従業員数の制約なし,a0WJ200000CDcODMA1,産業振興
2026-09-28,2025-02-14,【経済産業省】ものづくり・商業・サービス生産性向上促進補助金（19次締切）,全国,40000000,従業員数の制約なし,a0WJ200000CDTzMMAX,ものづくり
2026-09-30,2026-08-14,小規模事業者持続化補助金＜共同・協業型＞ 第３回公募,全国,30000000,従業員数の制約なし,a0WJ200000CDcQOMA1,販路開拓
2026-09-30,2026-08-10,令和8年度　ふくいの逸品創造ファンド事業,福井県,2000000,300名以下,a0WJ200000CDeF3MAL,販路開拓
2026-09-30,2026-05-15,「賃上げ環境整備補助金2026」,北海道,3000000,300名以下,a0WJ200000CDYr0MAH,展示会
2026-09-30,2026-04-15,令和8年度神奈川県小規模事業者デジタル化支援推進事業費補助金,神奈川県,500000,20名以下,a0WJ200000CDYEIMA5,産業振興
2026-10-01,2026-04-10,令和８年度外国著作権登録費用助成事業,東京都,100000,300名以下,a0WJ200000CDYRHMA5,海外
2026-10-01,2026-04-10,令和８年度特許調査費用助成事業,東京都,1000000,300名以下,a0WJ200000CDYQoMAP,国際
2026-10-07,2026-08-18,令和８年度酒類業振興支援事業費補助金（第５期）,北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 新潟県 / 長野県 / 沖縄県 / 千葉県 / 東京都 / 神奈川県 / 山梨県 / 富山県 / 石川県 / 福井県 / 岐阜県 / 静岡県 / 愛知県 / 三重県 / 滋賀県 / 京都府 / 大阪府 / 兵庫県 / 奈良県 / 和歌山県 / 鳥取県 / 島根県 / 岡山県 / 広島県 / 山口県 / 徳島県 / 香川県 / 愛媛県 / 高知県 / 福岡県 / 佐賀県 / 長崎県 / 熊本県 / 大分県 / 宮崎県 / 鹿児島県,15000000,従業員数の制約なし,a0WJ200000CDdRmMAL,海外
2026-10-08,2026-07-16,「海外研究者招へい事業（STeP JAPAN）」2027年度海外招へい研究者受入機関の募集,全国,,従業員数の制約なし,a0WJ200000CDaooMAD,海外
2026-10-09,2026-07-31,令和８年度 非石油由来製品等開発支援事業,東京都,20000000,従業員数の制約なし,a0WJ200000CDdN0MAL,国際
2026-10-30,2026-07-06,【令和８年度２次公募】国立公園等利用拠点滞在環境等上質化事業（国立公園等資源整備事業費補助金）,全国,,従業員数の制約なし,a0WJ200000CDczHMAT,インバウンド
2026-10-30,2026-07-06,【令和８年度２次公募】国立公園等多言語解説等整備事業（国立公園等資源整備事業費補助金）,全国,,従業員数の制約なし,a0WJ200000CDczMMAT,観光
2026-11-13,2026-05-25,【鹿児島県】令和8年度_中小企業等海外展開支援事業費補助金（海外出願支援事業）,鹿児島県,3000000,300名以下,a0WJ200000CDZXbMAP,海外
2026-11-13,2026-07-30,令和８年度_Scope3排出量削減のための企業間連携による省CO2設備投資促進事業,全国,1500000000,従業員数の制約なし,a0WJ200000CDNDnMAP,国際
2026-11-30,2026-07-07,令和８年度二酸化炭素排出抑制対策事業費等補助金（運輸部門等の脱炭素化に向けた先進的システム社会実装促進事業のうち、農業機械の電動化促進事業）,全国,72000000,従業員数の制約なし,a0WJ200000CDa1gMAD,産業振興
2026-11-30,2026-04-14,令和8年度　資源循環分野の脱炭素化促進事業,全国,44000000,従業員数の制約なし,a0WJ200000CDXyuMAH,海外
2026-11-30,2026-04-01,令和８年度多様な体験型観光推進事業補助金,東京都,2000000,従業員数の制約なし,a0WJ200000CDYUmMAP,観光
2026-12-01,2026-04-10,令和８年度海外商標対策支援助成事業,東京都,5000000,300名以下,a0WJ200000CDYR2MAP,海外
2026-12-01,2025-12-16,【農林水産省】中山間地域所得確保推進事業,全国,5000000,従業員数の制約なし,a0WJ200000CDYDCMA5,海外
2026-12-14,2026-04-01,【令和８年度】INPIT外国出願補助金（中間手続補助）,全国,500000,300名以下,a0WJ200000CDXmVMAX,国際
2026-12-17,2026-02-05,中小企業人材確保のための奨学金返還支援事業【令和８年度企業登録】,東京都,,従業員数の制約なし,a0WJ200000CDX1KMAX,ものづくり
2026-12-18,2026-05-11,【令和８年度】ＰＣＢ汚染変圧器高効率化補助金,全国,1000000,従業員数の制約なし,a0WJ200000CDYC7MAP,産業振興
2026-12-18,2026-06-01,【徳島県】令和８年度_中小企業等海外展開支援事業費補助金（海外出願支援事業）,徳島県,3000000,300名以下,a0WJ200000CDdicMAD,海外
2026-12-25,2026-06-01,【福岡県宗像市】令和8年度 宗像市がんばる中小企業者応援補助金,福岡県,,300名以下,a0WJ200000CDddbMAD,海外
2026-12-25,2026-06-01,【福岡県宗像市】令和8年度 食のまち宗像推進補助金,福岡県,,従業員数の制約なし,a0WJ200000CDddZMAT,販路拡大
2026-12-25,2026-06-01,【福岡県宗像市】令和8年度 宗像市創業応援補助金（“宗業”者応援補助金）,福岡県,,従業員数の制約なし,a0WJ200000CDddaMAD,観光
2026-12-25,2026-04-01,令和８度誰もが楽しめる自然体験型観光推進事業補助金,東京都,5000000,従業員数の制約なし,a0WJ200000CDYUlMAP,観光
2026-12-25,2026-03-31,令和８年度　観光産業の活性化促進事業補助金,東京都,25000000,従業員数の制約なし,a0WJ200000CDdfpMAD,観光
2026-12-28,2025-10-27,【経済産業省】ものづくり・商業・サービス生産性向上促進補助金（20次締切）,全国,35000000,従業員数の制約なし,a0WJ200000CDVkeMAH,ものづくり
2026-12-28,2026-06-30,【久留米市】中小企業先端設備等導入支援補助金（令和8年度）,福岡県,5000000,300名以下,a0WJ200000CDbPLMA1,観光
2026-12-28,2026-03-31,【久留米市】久留米市キッチンカー導入事業費補助金（令和８年度）,福岡県,300000,従業員数の制約なし,a0WJ200000CDYTvMAP,観光
2026-12-28,2026-06-23,【久留米市】久留米市小規模事業者デジタル化支援補助金（令和８年度）,福岡県,200000,20名以下,a0WJ200000CDbpCMAT,観光
2026-12-28,2026-04-01,【倉敷市】実証実験サポート事業,全国,500000,従業員数の制約なし,a0WJ200000CDY6KMAX,文化
2026-12-28,2026-06-17,令和８年度フィンテック企業に対する海外進出支援事業 海外展示会共同出展,東京都,,従業員数の制約なし,a0WJ200000CDYUPMA5,海外
2026-12-28,2026-06-17,令和８年度フィンテック企業に対する海外進出支援事業補助金,東京都,3000000,従業員数の制約なし,a0WJ200000CDYUQMA5,海外
2026-12-28,2026-03-31,【久留米市】中小企業止水板等設置事業費補助金（令和8年度）,福岡県,500000,従業員数の制約なし,a0WJ200000CDYZ7MAP,観光
2027-01-14,2026-04-09,中小企業の外国人従業員に対する研修等支援助成金（一般コース）,東京都,250000,300名以下,a0WJ200000CDK7NMAX,文化
2027-01-14,2026-04-09,中小企業の外国人従業員に対する研修等支援助成金（ウクライナ避難民採用企業コース）,東京都,500000,従業員数の制約なし,a0WJ200000CDK7OMAX,文化
2027-01-14,2026-04-09,令和8年度 中小企業の外国人従業員に対する研修等支援助成金（一般コース）,東京都,250000,300名以下,a0WJ200000CDe4iMAD,文化
2027-01-14,2026-04-09,令和8年度 中小企業の外国人従業員に対する研修等支援助成金（ウクライナ避難民採用企業コース）,東京都,500000,従業員数の制約なし,a0WJ200000CDe4nMAD,文化
2027-01-29,2026-04-08,令和８年度子育て【宅配ボックス】,全国,,従業員数の制約なし,a0WJ200000CDYSPMA5,交流
2027-01-29,2026-04-01,熊谷市中小企業SDGs経営・ジギョケイ策定支援奨励金,埼玉県,,従業員数の制約なし,a0WJ200000CDXH1MAP,産業振興
2027-01-29,2026-04-09,デジタル証券（セキュリティトークン）市場拡大促進事業補助金,東京都,7500000,従業員数の制約なし,a0WJ200000CDMSsMAP,国際
2027-01-29,2026-04-07,令和８年度フィンテック企業等に対するイノベーション支援事業（金融サービス事業化支援補助金）,東京都,4000000,従業員数の制約なし,a0WJ200000CDMQvMAP,海外
2027-01-31,2026-03-31,岡崎ものづくり支援補助金（共同研究事業）,愛知県,500000,従業員数の制約なし,a0WJ200000CDYW2MAP,ものづくり
2027-01-31,2026-03-31,岡崎ものづくり支援補助金（依頼試験事業）,愛知県,500000,従業員数の制約なし,a0WJ200000CDYW3MAP,ものづくり
2027-01-31,2026-03-31,岡崎ものづくり支援補助金（知的財産権取得事業）,愛知県,300000,従業員数の制約なし,a0WJ200000CDYW5MAP,ものづくり
2027-01-31,2026-03-31,岡崎ものづくり支援補助金（プラットフォーム活用事業）,愛知県,500000,従業員数の制約なし,a0WJ200000CDYW6MAP,ものづくり
2027-01-31,2026-03-31,岡崎ものづくり支援補助金（新製品共創事業）,愛知県,300000,従業員数の制約なし,a0WJ200000CDYW7MAP,ものづくり
2027-02-05,2026-04-08,令和８年度乗降用リフト装置付バス利用支援補助金,東京都,50000,従業員数の制約なし,a0WJ200000CDYUkMAP,観光
2027-02-26,2026-04-08,令和８年度子育て【建設型】初年度,全国,,従業員数の制約なし,a0WJ200000CDYSAMA5,交流
2027-02-26,2026-04-08,令和８年度子育て【改修型】,全国,,従業員数の制約なし,a0WJ200000CDYSFMA5,交流
2027-02-28,2026-04-01,令和8年度岸和田市「市内丸ごとラボ」実証事業推進補助金,大阪府,1000000,従業員数の制約なし,a0WJ200000CDYvQMAX,産業振興
2027-02-28,2026-03-31,【飯塚市】令和8年度外国人材受入環境整備事業費補助金,福岡県,150000,従業員数の制約なし,a0WJ200000CDXk9MAH,文化
2027-02-28,2025-03-30,令和６年度補正予算　商用車等の電動化促進事業,全国,29500000000,従業員数の制約なし,a0WJ200000CDL8JMAX,海外
2027-02-28,2026-07-29,松山港利用促進インセンティブ補助金（荷主向け）,愛媛県,,従業員数の制約なし,a0WJ200000CDdm6MAD,輸出
2027-02-28,2026-03-31,【長野県茅野市】製造業等労務環境改善・競争力強化促進補助金,長野県,,300名以下,a0WJ200000CDY1VMAX,デザイン
2027-03-01,2026-05-10,川越市中小企業者等物価高騰対策経営改善支援金,埼玉県,100000,従業員数の制約なし,a0WJ200000CDY6GMAX,産業振興
2027-03-01,2026-04-30,令和８年度金融機関と連携したサステナビリティ経営促進事業（ＳＬＬ／ＰＩＦ）,東京都,2000000,従業員数の制約なし,a0WJ200000CDa42MAD,国際
2027-03-17,2026-03-31,【長野県茅野市】受注及び販路開拓支援事業補助金,長野県,,300名以下,a0WJ200000CDY1kMAH,販路開拓
2027-03-19,2026-07-01,令和８年度SDGsファイナンス支援事業補助金(グリーンボンド/グリーンローン),全国,2000000,従業員数の制約なし,a0WJ200000CDd5XMAT,国際
2027-03-19,2026-07-01,令和８年度SDGsファイナンス支援事業補助金(ブルーボンド/ブルーローン),全国,5000000,従業員数の制約なし,a0WJ200000CDd9wMAD,国際
2027-03-19,2026-07-01,令和８年度SDGsファイナンス支援事業補助金(トランジションボンド/トランジションローン),全国,1000000,従業員数の制約なし,a0WJ200000CDd9xMAD,国際
2027-03-19,2026-07-01,令和８年度SDGsファイナンス支援事業補助金(ソーシャルボンド/ソーシャルローン),全国,3000000,従業員数の制約なし,a0WJ200000CDdA6MAL,国際
2027-03-19,2026-07-01,令和８年度SDGsファイナンス支援事業補助金(個人向けSDGs預金),全国,1000000,従業員数の制約なし,a0WJ200000CDdABMA1,国際
2027-03-23,2026-01-23,【経済産業省】ものづくり・商業・サービス生産性向上促進補助金（21次締切）,全国,40000000,従業員数の制約なし,a0WJ200000CDX4vMAH,ものづくり
2027-03-31,2026-04-01,【飯塚市】令和8年度海外展開支援事業費補助金,福岡県,100000,300名以下,a0WJ200000CDXk8MAH,海外
2027-03-31,2026-04-01,多摩市ふるさと納税を活用した資金調達支援事業補助金,東京都,,従業員数の制約なし,a0WJ200000CDYvXMAX,ものづくり
2027-03-31,2026-08-16,がんばろう赤磐中小企業省エネ設備更新支援補助金,岡山県,,900名以下,a0WJ200000CDdtHMAT,観光
2027-03-31,2026-03-27,【内閣府】地方創生に資する利子補給制度（金融支援）,全国,,従業員数の制約なし,a0WJ200000CDYCrMAP,国際
2027-03-31,2026-04-01,岸和田市オフィス誘致補助金,大阪府,,従業員数の制約なし,a0WJ200000CDYvRMAX,産業振興
2027-03-31,2026-04-01,【愛知県大府市】大府市産業立地の奨励措置,愛知県,,従業員数の制約なし,a0WJ200000CDZz2MAH,産業振興
2027-03-31,2026-04-01,【愛知県大府市】2026年度大府市カーボンニュートラル推進生産設備導入支援補助金（ユーティリティ設備）,愛知県,1000000,従業員数の制約なし,a0WJ200000CDZz6MAH,産業振興
2027-03-31,2026-03-31,橿原市起業等スタートアップ補助金,奈良県,500000,300名以下,a0WJ200000CDbz0MAD,コンテンツ
2027-03-31,2026-03-30,深谷市起業家支援事業補助金,埼玉県,200000,300名以下,a0WJ200000CDXqMMAX,産業振興
2027-03-31,2025-03-31,深谷市中小企業者経営革新計画策定奨励金,埼玉県,50000,300名以下,a0WJ200000CDYCpMAP,産業振興
2027-03-31,2025-03-31,京都市企業立地促進制度補助金［市内初進出支援制度］,全国,70000000,従業員数の制約なし,a0WJ200000CDXFfMAP,海外
2027-03-31,2025-03-31,京都市企業立地促進制度補助金［お試し立地支援制度］,全国,500000,従業員数の制約なし,a0WJ200000CDXFiMAP,海外
2027-03-31,2026-03-31,岡崎ものづくり支援補助金（見本市等出展事業）,愛知県,300000,従業員数の制約なし,a0WJ200000CDYW4MAP,販路開拓
2027-03-31,2026-03-31,【福岡市】グリーンビル促進事業（都心部のオフィスビルなどへの緑化助成）,福岡県,30000000,従業員数の制約なし,a0WJ200000CDYCnMAP,ものづくり
2027-03-31,2026-03-31,岡崎市工場等（倉庫等）建設奨励金,愛知県,1000000000,従業員数の制約なし,a0WJ200000CDYW8MAP,ものづくり
2027-03-31,2026-03-31,岡崎市企業再投資促進奨励金（県連携）,愛知県,1000000000,従業員数の制約なし,a0WJ200000CDYW9MAP,ものづくり
2027-03-31,2026-03-31,岡崎市消費者向け製品製造工場等建設奨励金,愛知県,2500000000,従業員数の制約なし,a0WJ200000CDYWAMA5,ものづくり
2027-03-31,2026-03-31,岡崎市高度先端産業立地奨励金（県連携）,愛知県,1000000000,従業員数の制約なし,a0WJ200000CDYWBMA5,ものづくり
2027-03-31,2025-03-31,京都型グローバル・ニッチ・トップ企業育成補助金,全国,100000000,従業員数の制約なし,a0WJ200000CDXFgMAP,観光
2027-03-31,2025-03-31,京都市企業立地促進制度補助金［本社・工場等新増設等支援制度］,全国,100000000,従業員数の制約なし,a0WJ200000CDXFhMAP,観光
2027-03-31,2026-03-31,【長野県茅野市】新商品開発事業補助金,長野県,300000,従業員数の制約なし,a0WJ200000CDY1fMAH,観光
2027-03-31,2026-03-31,【長野県茅野市】特定創業者等支援奨励金（特定創業者）,長野県,100000,300名以下,a0WJ200000CDY6cMAH,交流
2027-03-31,2026-04-01,令和８年_設備投資_事業完了後申請,茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 山梨県,200000000,従業員数の制約なし,a0WJ200000CDXoBMAX,産業振興
2027-03-31,2026-03-31,【長野県茅野市】ＩＴ関連企業誘致奨励金,長野県,500000,従業員数の制約なし,a0WJ200000CDY1QMAX,産業振興
2027-03-31,2026-03-31,【長野県茅野市】中小企業人材育成等支援補助金,長野県,,300名以下,a0WJ200000CDY1pMAH,産業振興
2027-03-31,2026-03-31,【長野県茅野市】特定創業者等支援奨励金（事業承継）,長野県,100000,300名以下,a0WJ200000CDY6dMAH,産業振興
2027-03-31,2026-03-31,【三重県　鈴鹿市】令和8年度創業促進補助金,三重県,300000,従業員数の制約なし,a0WJ200000CDYsSMAX,産業振興
2027-03-31,2026-06-09,令和８年度原子力発電施設等の周辺地域における大規模開発地区への企業立地促進事業費補助金,青森県,55000000,従業員数の制約なし,a0WJ200000CDacWMAT,産業振興
2027-03-31,2026-03-31,今治市企業立地促進奨励金,愛媛県,,従業員数の制約なし,a0WJ200000CDb86MAD,産業振興
2027-03-31,2026-03-31,今治市賃貸借型企業立地奨励金（賃借料に対する奨励金）,愛媛県,18000000,従業員数の制約なし,a0WJ200000CDb87MAD,産業振興
2027-03-31,2026-03-31,今治市賃貸借型企業立地奨励金（開設費用に対する奨励金）,愛媛県,5000000,従業員数の制約なし,a0WJ200000CDb88MAD,産業振興
2027-03-31,2026-03-31,今治市雇用促進奨励金,愛媛県,100000000,従業員数の制約なし,a0WJ200000CDb89MAD,産業振興
2027-03-31,2026-03-31,今治市設備投資奨励金,愛媛県,10000000,300名以下,a0WJ200000CDb8AMAT,産業振興
2027-03-31,2026-03-31,今治市指定区域用地取得奨励金,愛媛県,500000000,従業員数の制約なし,a0WJ200000CDb8BMAT,産業振興
2027-03-31,2026-03-31,今治市指定区域大規模用地取得奨励金,愛媛県,,従業員数の制約なし,a0WJ200000CDb8CMAT,産業振興
2027-06-30,2026-04-30,【経済産業省】ものづくり・商業・サービス生産性向上促進補助金（22次締切）,全国,,従業員数の制約なし,a0WJ200000CDYimMAH,ものづくり
2028-03-31,2026-04-03,【経済産業省】ものづくり・商業・サービス生産性向上促進補助金（23次締切）,全国,,従業員数の制約なし,a0WJ200000CDdtMMAT,ものづくり
2029-03-31,2026-03-31,【長野県茅野市】消費喚起イベント事業補助金,長野県,400000,100名以下,a0WJ200000CDY24MAH,誘客
2031-01-21,2023-09-22,［第十回］事業再構築補助金（交付申請等）,全国,500000000,従業員数の制約なし,a0W5h00000GMgXBEA1,海外
2031-06-12,2024-02-13,［第十一回］事業再構築補助金（交付申請等）,全国,150000000,従業員数の制約なし,a0W5h00000UbU66EAF,海外
