初報日,案件名,発注機関,種別,締切,予定価格,格付,応募形態,資格要否,状態,URL
2026-08-26,2027国際園芸博覧会への福島県出展業務委託,福島県,公募型プロポーザル,2026-09-01,要確認,S,単独,不要,新規（参加申込9/1正午・企画提案9/4正午）,https://www.pref.fukushima.lg.jp/sec/36035c/2027engeihaku-kohbo.html
2026-08-26,令和8年度 地域資源発掘型プログラム事業 地域観光プロモーター業務委託（第2回）,公益財団法人東京観光財団（TCVB）,業務委託,2026-10-09,要確認,A,単独,不要,新規（8/26募集開始）,https://www.tcvb.or.jp/jp/news/chiiki_r8shinki_PressRelease2.pdf
2026-08-26,海外向けグリーンツーリズム推進事業セールスツール制作委託業務,大分県,企画提案競技,2026-09-10,要確認,A,単独,不要,新規,https://www.pref.oita.jp/site/nyusatu-koubo/oita-greentourism.html
2026-08-26,令和8年度 農産加工品等外食産業プロモーション連携業務,宮崎県,企画提案競技,2026-10-07,要確認,B,単独,不要,新規（参加申込9/16）,https://www.pref.miyazaki.lg.jp/nogyoryutsu-brand/kense/chotatsu/20260817144037.html
2026-08-26,令和8年度 新潟観光ブランド形成促進事業 小学生向け観光副読本制作業務,新潟県,公募型プロポーザル,2026-09-17,要確認,C,単独,不要,新規（参加申込9/14）,https://www.pref.niigata.lg.jp/sec/kankokikaku/0832860.html
2026-08-26,令和8年度イタリア旅行博「TTG 2026」共同出展募集,公益財団法人東京観光財団（TCVB）,出展募集,2026-08-27,-,C,参加,不要,対象外の可能性（都内の旅行関連事業者限定）,https://www.tcvb.or.jp/jp/news/kanko_R8_TTG_2026.pdf
2026-08-26,令和9年度JETプログラム来日直後オリエンテーション総合業務委託,自治体国際化協会（CLAIR）,プロポーザル,-,-,B,単独,要確認,終了（公告ページ404）,https://jetprogramme.org/ja/information/news/r9jetprogrammeorientation/
2026-08-26,令和8年度 戦略的海外ビジネス推進助成金（二次募集）,山口県,補助金,2026-09-18,要確認,-,支援側,不要,営業機会,https://www.pref.yamaguchi.lg.jp/press/358841.html
2026-08-26,令和8年度「海外教育旅行の促進及びプログラムの付加価値向上事業」,観光庁,公募,要確認,要確認,B,単独,要確認,新規（締切要確認）,https://www.mlit.go.jp/kankocho/kobo_2026_00003.html
2026-08-26,令和8年度「地域のMICE誘致力強化促進事業」二次公募,観光庁,公募,要確認,要確認,C,単独,要確認,新規（締切要確認）,https://www.mlit.go.jp/kankocho/kobo_2026_00003.html
2026-08-26,令和8年度「観光コンテンツの持続的供給に資する質的価値の維持向上事業」,観光庁,公募,要確認,要確認,C,単独,要確認,新規（締切要確認）,https://www.mlit.go.jp/kankocho/kobo_2026_00003.html
2026-08-26,2027年国際園芸博覧会屋内出展作品 設計・施工・維持管理業務委託,福岡県,企画提案公募,2026-06-19,要確認,A,単独,不要,締切超過（来年度型として監視）,https://www.pref.fukuoka.lg.jp/contents/engei-hana.html
2026-08-26,2027年国際園芸博覧会屋外出展業務委託,宮崎県,企画提案競技,2026-07頃,要確認,A,単独,不要,締切超過（結果公表済）,https://www.pref.miyazaki.lg.jp/utsukushii/kense/chotatsu/20260610181256.html
2026-08-26,令和8年度 道市連携海外展開推進事業（インド市場）委託業務,北海道,プロポーザル,2026-07-07,要確認,A,単独,不要,締切超過,https://www.pref.hokkaido.lg.jp/ss/tsk/261576.html
2026-08-26,世界へ羽ばたけ！県産品海外展開強化事業（米国）業務,宮崎県,企画提案競技,2026-07-29,要確認,S,単独,不要,締切超過（来年度型として監視）,https://www.pref.miyazaki.lg.jp/kokusai-keizaikoryu/kense/chotatsu/20260707134002.html
2026-08-26,海外OTA等を活用したインバウンド誘客プロモーション事業（欧米豪市場向け）,宮崎県,企画提案競技,2026-06-15,要確認,A,単独,不要,締切超過（来年度型として監視）,https://www.pref.miyazaki.lg.jp/kanko-suishin/kense/chotatsu/20260512091430.html
2026-08-26,韓国市場における二次交通を活用した県内広域周遊促進事業業務委託,山形県,企画提案,2026-08-28,要確認,B,単独,不要,実質不可（参加申込が本日17時）,https://www.pref.yamagata.jp/110017/20260731.html
2026-08-26,中国・重慶「北陸3県工芸品フェア」出品事業者募集,福井県,参加募集,2026-08-28,-,-,支援側,不要,営業機会,https://www.pref.fukui.lg.jp/doc/sansei/fairinchongqing.html
2026-08-26,令和8年度 県産木製品欧州販路開拓業務委託,岐阜県,一般競争入札,2026-08-24,要確認,S,単独,要確認,締切超過（来年度型として監視）,https://www.pref.gifu.lg.jp/bid/bid/439809.html
2026-08-26,令和8年度 多言語情報発信事業及び海外インフルエンサー等招請事業,群馬県,公募,2026-07-31,要確認,S,単独,不要,締切超過（来年度型として監視）,https://www.pref.gunma.jp/site/nyuusatsu/766308.html
2026-08-26,令和8年度 鹿児島空港国際線アウトバウンドプロモーション業務,鹿児島県,企画提案,2026-04-27,要確認,A,単独,不要,締切超過（来年度型として監視）,https://www.pref.kagoshima.jp/ac08/kagoshima_go_abroad.html
2026-08-26,令和8年度「海外商談会出展支援事業」補助金,鹿児島県,補助金,2026-12-28,要確認,-,支援側,不要,営業機会,https://www.pref.kagoshima.jp/
2026-08-26,集団出展ブース装飾委託業務【LIFE×DESIGN 2027】,公益財団法人わかやま産業振興財団,公募型プロポーザル,2026-09-29,上限額あり（要確認）,S,単独,和歌山県の入札参加資格が必要,新規（参加申込9/8必着・要資格確認）,https://yarukiouendan.or.jp/news/lifedesign_soushoku_2027/
2026-08-26,首都圏・大阪圏向け動画プロモーション業務委託,姫路市,公募型プロポーザル,2026-09-01,要確認,C,単独,要確認,新規,https://www.city.himeji.lg.jp/
2026-08-26,西区地域プレイヤー交流会「ENISHI MEETS 2027」企画・運営業務,神戸市,事業者募集,2026-08-28,要確認,C,単独,要確認,新規（参加申請8/28）,https://www.city.kobe.lg.jp/
2026-08-26,展示商談会出展支援事業（3展示会）静岡県ブース設営等業務,公益財団法人静岡県産業振興財団,委託,要確認,要確認,S,単独,要確認,新規（締切要確認）,https://www.ric-shizuoka.or.jp/
2026-08-26,産学金官連携タイ販路開拓業務,郡山市,公募型プロポーザル,要確認,要確認,A,単独,要確認,新規（締切要確認）,https://www.city.koriyama.lg.jp/
2026-08-26,伝統工芸品の体験型ビジネス構築支援事業,東京都中小企業振興公社,支援事業,要確認,要確認,B,支援側,不要,要調査,https://www.tokyo-kosha.or.jp/
2026-08-26,海外展示会「Bharat Mobility GLOBAL EXPO 2027」出展,浜松市,参加募集,2027-02-04,-,-,支援側,不要,営業機会,https://www.city.hamamatsu.shizuoka.jp/
2026-08-26,海外ビジネス人材育成及びオンラインを活用した海外販路開拓支援事業,大阪産業局,委託,要確認,要確認,A,単独,要確認,新規（締切要確認）,https://www.obda.or.jp/
2026-08-26,令和8年度「東京手仕事」プロジェクトにおける海外展示会の運営業務の委託（Maison & Objet）,東京都中小企業振興公社,委託（希望申出）,2026-03-03,要確認,S,単独,不要,締切超過（次回2027年2月下旬公告見込・最重要監視対象）,https://www.tokyo-kosha.or.jp/kosha/keiyaku/end/r7_keiyaku.html
2026-08-26,令和8年度 伝統工芸品 商品発表会・国内展示会の運営等に係る委託,東京都中小企業振興公社,委託,2026-02-17,要確認,A,単独,不要,締切超過（来年度型として監視）,https://www.tokyo-kosha.or.jp/kosha/keiyaku/end/r7_keiyaku.html
2026-08-26,令和8年度 海外展示会出展に伴うブース装飾等の業務委託（ライフスタイル、医療系）,東京都中小企業振興公社,委託,2026-02-17,要確認,S,単独,不要,締切超過（来年度型として監視）,https://www.tokyo-kosha.or.jp/kosha/keiyaku/end/r7_keiyaku.html
2026-08-26,令和8年度 越境EC出品支援事業に係る業務委託,東京都中小企業振興公社,委託,2026-02-13,要確認,A,単独,不要,締切超過（来年度型として監視）,https://www.tokyo-kosha.or.jp/kosha/keiyaku/end/r7_keiyaku.html
2026-08-26,令和8年度 海外展開総合支援事業 タイ企業との商談会 設営・運営等業務委託,東京都中小企業振興公社,委託,2026-03-12,要確認,A,単独,不要,締切超過（来年度型として監視）,https://www.tokyo-kosha.or.jp/kosha/keiyaku/end/r7_keiyaku.html
2026-08-26,令和8年度 海外展開総合支援事業 ベトナム企業との商談会 現地対応・設営・運営業務委託,東京都中小企業振興公社,委託,2026-03-30,要確認,A,単独,不要,締切超過（来年度型として監視）,https://www.tokyo-kosha.or.jp/kosha/keiyaku/end/r7_keiyaku.html
2026-08-26,令和7年度「東京手仕事」プロジェクト 商品カタログ（英語版）等制作業務の委託,東京都中小企業振興公社,委託,2025-09-11,要確認,A,単独,不要,締切超過（2026年9月上旬に令和8年度分の公告可能性・監視中）,https://www.tokyo-kosha.or.jp/kosha/keiyaku/end/r7_keiyaku.html
2026-08-26,令和8年度 伝統工芸品 常設販売コーナーにおける運営管理業務の委託,東京都中小企業振興公社,委託,2026-02-25,要確認,B,単独,不要,締切超過（来年度型として監視）,https://www.tokyo-kosha.or.jp/kosha/keiyaku/end/r7_keiyaku.html
2026-08-26,「2027年ベオグラード国際博覧会」日本館 展示・施工等,JETRO（日本貿易振興機構）,一般競争入札,2026-09-14,要確認,S,単独,要（全省庁統一資格・役務の提供等）,新規【募集中】,https://www.jetro.go.jp/procurement/bid/ode/3d8a541ddc5dccaa.html
2026-08-26,「2027年ベオグラード国際博覧会」日本館 運営,JETRO（日本貿易振興機構）,一般競争入札,2026-09-08,要確認,S,単独,要（全省庁統一資格・役務の提供等）,新規【募集中】,https://www.jetro.go.jp/procurement/bid/ode/b086abd8177ce6da.html
2026-08-26,「FHA Food & Hospitality Asia 2027」ジャパンパビリオンの設計・監理等,JETRO（日本貿易振興機構）,一般競争入札,2026-09-08,要確認,S,単独,要（全省庁統一資格・役務の提供等）,新規【募集中】,https://www.jetro.go.jp/procurement/bid/afb/f2fc6a2a039f0ff2.html
2026-08-26,「Seafood Expo North America 2027」ジャパンパビリオンの設計・監理等,JETRO（日本貿易振興機構）,一般競争入札,2026-07-27,要確認,A,単独,要（全省庁統一資格）,締切超過（来年度型として監視）,https://www.jetro.go.jp/procurement/bid/afb/90b2f44a05faa85d.html
2026-08-26,「BIOFACH 2027」ジャパンパビリオンの設計・監理等,JETRO（日本貿易振興機構）,一般競争入札,2026-07-13,要確認,A,単独,要（全省庁統一資格）,締切超過（来年度型として監視）,https://www.jetro.go.jp/procurement/bid/afb/491b67bb8dd26417.html
2026-08-26,「Sirha 2027」ジャパンパビリオン設計・監理等,JETRO（日本貿易振興機構）,一般競争入札,2026-06-26,要確認,A,単独,要（全省庁統一資格）,締切超過（来年度型として監視）,https://www.jetro.go.jp/procurement/bid/afb/96ffd6afac015e83.html
2026-08-26,「2027年ベオグラード国際博覧会」日本館 行催事業務,JETRO（日本貿易振興機構）,公募,要確認,要確認,S,単独,要（全省庁統一資格）,要調査,https://www.jetro.go.jp/procurement/publicoffer/
2026-08-26,海外市場適合クリエイティブ制作等業務,中小機構,公募,要確認,要確認,A,単独,要確認,要調査,https://www.smrj.go.jp/procurement/bid/list/2026/index.html
2026-08-26,令和8年度CEOネットワーク強化事業（インドCEO商談会）開催に係る業務請負,中小機構,公募,要確認,要確認,B,単独,要確認,要調査,https://www.smrj.go.jp/procurement/bid/list/2026/index.html
