発注者,案件名,URL,状態,期限,関門
公益財団法人京都産業21,「SEMICON Japan 2026」京都パビリオン府内共同出展企業募集について終了,https://www.ki21.jp/?post_type=startup&amp;p=45433&amp;preview=true,締切済,,
公益財団法人京都産業21,"「SEMICON Japan 2026」京都パビリオン府内共同出展企業募集について<span class=""icon closed"">終了</span>",https://www.ki21.jp/?post_type=startup&amp;p=45433&amp;preview=true,締切済,,
公益財団法人京都産業21,モノづくりフェア2026(福岡開催) 京都ブースの共同出展企業募集について終了,https://www.ki21.jp/matching/exhibition/monodukuri2026/,締切済,,
公益財団法人京都産業21,"モノづくりフェア2026(福岡開催) 京都ブースの共同出展企業募集について<span class=""icon closed"">終了</span>",https://www.ki21.jp/matching/exhibition/monodukuri2026/,締切済,,
公益財団法人京都産業21,「SEMICON Japan 2026 京都パビリオン」装飾等業務 公募型プロポーザル審査による事業者選定について終了,https://www.ki21.jp/?post_type=startup&amp;p=45181&amp;preview=true,締切済,,
公益財団法人京都産業21,"「SEMICON Japan 2026 京都パビリオン」装飾等業務 公募型プロポーザル審査による事業者選定について<span class=""icon closed"">終了</span>",https://www.ki21.jp/?post_type=startup&amp;p=45181&amp;preview=true,締切済,,
公益財団法人京都産業21,川崎重工業株式会社 事業・ニーズ説明会＆個別商談会 参加企業募集のご案内終了,https://www.ki21.jp/matching/exhibition/kobetu_shodankai2026/,締切済,2026-06-30,参加表明
公益財団法人京都産業21,"川崎重工業株式会社 事業・ニーズ説明会＆個別商談会 参加企業募集のご案内<span class=""icon closed"">終了</span>",https://www.ki21.jp/matching/exhibition/kobetu_shodankai2026/,締切済,2026-06-30,参加表明
公益財団法人大阪産業局,令和8年度「この街のクリエイター博覧会2027」会場設営・運営管理業務の委託先公募について[※募集は終了しました],https://www.obda.or.jp/info-news/20260515_1.html,締切済,2026-05-22,参加表明
公益財団法人大阪産業局,【報道資料】環境にやさしい素材・加工技術・製品が集う展示商談会「グリーン・サステナブルテックショーケース2026」 出展企業の募集を開始,https://www.obda.or.jp/wp-content/uploads/2026/08/260806_SANSOKAN_release.pdf,日付不明,,
公益財団法人大阪産業局,【ご質問に対する回答】令和8年度「この街のクリエイター博覧会2027」会場設営・運営管理業務の委託先公募について,https://www.obda.or.jp/wp-content/uploads/2026/05/konokurihaku2027_QandA.pdf,日付不明,,
公益財団法人大阪産業局,令和8年度「この街のクリエイター博覧会2027」会場設営・運営管理業務募集要項,https://www.obda.or.jp/wp-content/uploads/2026/05/01_konokurihaku2027_Guidelines.pdf,日付不明,,
公益財団法人大阪産業局,令和8年度「この街のクリエイター博覧会2027」会場設営・運営管理業務仕様書案,https://www.obda.or.jp/wp-content/uploads/2026/05/02_konokurihaku2027_Specs.pdf,日付不明,,
公益財団法人大阪産業局,令和8年度大規模展示会活用プログラム「TENKA！」における「IPF Japan 2026（国際プラスチックフェア）【第11回】」出展に伴うブース企画・設営業務の委託先公募について[※募集は終了しました],https://www.obda.or.jp/info-news/20260417_1.html,締切済,2026-05-08,参加表明
公益財団法人大阪産業局,令和8年度大規模展示会活用プログラム「TENKA！」における「東京ギフト・ショー LIFE×DESIGN」出展に伴うブース企画・設営業務の委託先公募について[※募集は終了しました],https://www.obda.or.jp/info-news/20260406_1.html,締切済,2026-04-20,参加表明
公益財団法人大阪産業局,令和8年度大規模展示会活用プログラム「TENKA！」における「WHX Osaka」出展に伴うブース企画・設営業務の委託先公募について[※募集は終了しました],https://www.obda.or.jp/info-news/20260225_1.html,締切済,2026-03-06,参加表明
公益財団法人大阪産業局,【食の商談会】 食品・飲料の販路を拡大したい企業を募集！[505527],https://ebis.obda.or.jp/service/505527/detail,日付不明,,
公益財団法人大阪産業局,【デスクトップマシナリー・テック2026】―卓上・小型機械の展示会― ＜出展企業募集＞卓上からはじまるものづくり！「卓上・小型機械」を大募集！[505771],https://ebis.obda.or.jp/service/505771/detail,募集中,2026-10-09,参加表明
公益財団法人大阪産業局,【機能性フィルム展2026】 ＜出展企業募集＞製品の高機能化・環境対応へ。素材・受託加工・試作技術などを募集[505470],https://ebis.obda.or.jp/service/505470/detail,募集中,2026-09-18,参加表明
公益財団法人大阪産業局,【販路拡大ターゲットマッチング】 大手メーカーの従業員向け販売に出展する企業を大募集！[505153],https://ebis.obda.or.jp/service/505153/detail,日付不明,,
公益財団法人大阪産業局,「この街のクリエイター博覧会2027」出展者募集[504799],https://ebis.obda.or.jp/service/504799/detail,募集中,2026-09-11,参加表明
公益財団法人大阪産業局,【ものづくりパートナーマッチング】 ＜提案企業募集＞技術を直接PR！大手・中堅企業とつながる中小製造業限定の商談会[504547],https://ebis.obda.or.jp/service/504547/detail,日付不明,,
静岡県産業振興財団,「RoboNext2026」静岡県ブースに係る設営等業務 企画提案コンペの実施について,https://www.ric-shizuoka.or.jp/news_topics/news.php?id=174,募集中,2026-09-25,参加表明
静岡県産業振興財団,【受注を希望する企業様募集！】マッチングフェアinなごや2026～東海5県広域商談会～,https://www.ric-shizuoka.or.jp/news_topics/news.php?id=167,締切済,2026-07-28,参加表明
静岡県産業振興財団,「展示商談会出展支援事業（３展示会）」静岡県ブース設営等業務委託に係る企画提案コンペを実施します,https://www.ric-shizuoka.or.jp/news_topics/news.php?id=166,締切済,2026-07-03,参加表明
静岡県産業振興財団,【締切延長 受注企業募集！】令和8年度山梨・静岡 連携ものづくり商談会,https://www.ric-shizuoka.or.jp/news_topics/news.php?id=152,締切済,2026-06-08,参加表明
静岡県産業振興財団,賃上げに取り組む中小企業のための展示会出展支援事業 出展企業募集（出展料無料）,https://www.ric-shizuoka.or.jp/news_topics/news.php?id=115,日付不明,,
静岡県産業振興財団,【受注企業募集】受・発注商談会 in 横浜 2026（定員に達し次第募集終了します）,https://www.ric-shizuoka.or.jp/news_topics/news.php?id=78,締切済,,
静岡県産業振興財団,「Medtec Japan 2026」静岡県ブース 出展企業募集のご案内,https://www.ric-shizuoka.or.jp/news_topics/news.php?id=73,日付不明,,
静岡県産業振興財団,令和8年度 「RoboNext2026」静岡県ブース共同出展企業募集のご案内,https://www.ric-shizuoka.or.jp/news_topics/news.php?id=156,締切済,2026-07-03,参加表明
静岡県産業振興財団,【調達・外注先を探している企業様募集】マッチングフェアinなごや2026（東海５県広域商談会）,https://www.ric-shizuoka.or.jp/news_topics/news.php?id=154,締切済,2026-06-17,参加表明
静岡県産業振興財団,「第31回機械要素技術展」静岡県ブースに係る設営等業務 企画提案コンペの実施について,https://www.ric-shizuoka.or.jp/news_topics/news.php?id=111,締切済,2026-04-27,参加表明
静岡県産業振興財団,【発注企業募集！】令和8年度山梨・静岡 連携ものづくり商談会,https://www.ric-shizuoka.or.jp/news_topics/news.php?id=103,締切済,2026-04-17,参加表明
静岡県産業振興財団,「人とくるまのテクノロジー展 2026 YOKOHAMA」 静岡県ブースに係る設営等業務 企画提案コンペを実施,https://www.ric-shizuoka.or.jp/news_topics/news.php?id=99,締切済,2026-03-12,参加表明
ひょうご産業活性化センター,「西日本合同広域商談会2027」参加発注企業の募集 募集締切：2026年9月18日(金) 掲載日：2026.08.18,https://www.ki21.jp/matching/exhibition/shodankai/hacchu2027/,日付不明,,
ひょうご産業活性化センター,「BEYOND SDGｓ エコプロ」兵庫県ブース装飾等委託業務事業者の公募について 募集期間：2026年７月27日（月）～８月28日（金）１７時必着 掲載日：2026.07.22,https://web.hyogo-iic.ne.jp/oshirase/topics12824,日付不明,,
わかやま産業振興財団,西日本合同広域商談会2026 発注企業募集開始のご案内について,https://yarukiouendan.or.jp/news/%e8%a5%bf%e6%97%a5%e6%9c%ac%e5%90%88%e5%90%8c%e5%ba%83%e5%9f%9f%e5%95%86%e8%ab%87%e4%bc%9a2026%e7%99%ba%e6%b3%a8%e4%bc%81%e6%a5%ad%e5%8b%9f%e9%9b%86/,日付不明,,
わかやま産業振興財団,集団出展ブース装飾委託業務【LIFE×DESIGN】プロポーザル参加企業募集,https://yarukiouendan.or.jp/news/lifedesign_soushoku_2027/,募集中,2026-09-08,参加表明
わかやま産業振興財団,令和８年度 わかやま取引商談会に係る受注企業募集のお知らせ,https://yarukiouendan.or.jp/news/waka-shoudankai2026/,募集中,2026-09-11,参加表明
わかやま産業振興財団,【終了しました】 『第21回 LIFE×DESIGN』和歌山県ブース 集団出展 出展者募集,https://yarukiouendan.or.jp/news/lifedesign2027/,締切済,,
わかやま産業振興財団,【終了しました】 Ambiente 2027 JAPAN STYLE 出展企業募集のご案内,https://yarukiouendan.or.jp/news/ambiente2027/,締切済,,
わかやま産業振興財団,『西日本合同広域商談会2027』 参加発注企業募集について – 京都産業21,https://www.ki21.jp/matching/exhibition/shodankai/hacchu2027/,日付不明,,
