都道府県,市区町村,事業名,採択額_千円,区分,発注の見込み
福井県,,稼げるふくいの農林水産業に向けたブランド力強化事業,86929,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
高知県,,農水産物・食品及び土佐酒輸出拡大プロジェクト推進事業を通じた地域の活性化,86533,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
新潟県,,３６５日いつでも選ばれる新潟へ！！観光資源を活かした誘客拡大事業,84694,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
宮城県,,インバウンド需要獲得と海外販路開拓の好循環創出事業,81804,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
栃木県,,栃木の山の恵みを生かした高付加価値インバウンド誘客事業,80854,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
栃木県,,移住定住促進「安全安心なとちぎブランド」確立・PR拠点整備事業,79000,ハード寄り（施設整備。当社の領域外の可能性が高い）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
石川県,,特色ある石川県産農林水産物のブランド化推進事業,75822,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
茨城県,,稼げるインバウンド茨城・誘客促進事業,68470,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
島根県,海士町,海士町ブランドのD2C化から繋げる人材還流促進事業,67500,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
熊本県,菊池市,菊池温泉街リブランディングによるインバウンド推進と稼げる観光体制づくり事業,62528,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
岐阜県,,稼ぐ力を高める県産品ブランド高付加価値化プロジェクト,59916,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
新潟県,,「佐渡島の金山」世界遺産登録を契機とした「オール新潟」周遊・誘客促進事業,58624,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
新潟県,村上市,SIBを活用したブランド創出型スモールコンセッション　瀬波温泉MIRAIHUB(仮称)事業,58000,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
青森県,,「食の宝庫あおもり」販路開拓・認知度向上推進プロジェクト,57567,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
鹿児島県,,アフターコロナを見据えたインバウンド誘客支援事業,57350,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
富山県,,ポストコロナの海外展開事業,56116,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
静岡県,牧之原市,静波沿岸部への観光誘客と周遊促進拠点整備事業,55250,ハード寄り（施設整備。当社の領域外の可能性が高い）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
宮崎県,,宮崎県の強みを生かした「５つのS」観光誘客促進プロジェクト事業,54750,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
群馬県,,ぐんまブランドのワールドワイド推進,54122,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
青森県,,青森独自のディープな体験を磨くインバウンド観光消費拡大プロジェクト,52681,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
三重県,,世界遺産熊野古道伊勢路を核とした拠点整備・誘客促進事業,50455,ハード寄り（施設整備。当社の領域外の可能性が高い）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
島根県,,関西及び県内のゲートウェイを活用した外国人観光客誘致プロジェクト,47756,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
宮城県,,生産力強化×販路開拓×農山漁村発イノベーション推進事業,44947,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
石川県,,インバウンド再開を見据えたいしかわの魅力発信プロジェクト,44400,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
福岡県,大牟田市,選ばれるマチとシゴトに向けた魅力向上・プロモーション事業,43966,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
大阪府,貝塚市,かいづかブランド推進DMO設立運営事業,41150,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
大阪府,藤井寺市,大阪・関西万博を契機としたシティプロモーション推進事業,41076,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
熊本県,熊本市,国内外からの観光客誘客促進事業,40000,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
大分県,宇佐市,宇佐ブランドを核とした周遊・滞在型観光による地域経済循環創出事業,39590,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
愛知県,豊田市,「選ばれるまち・とよた」の実現に向けた、若者・子育て世代向けシティプロモーション事業,39389,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
茨城県,大子町,地域活性化に向けた誘客及び受入体制整備事業,37959,ハード寄り（施設整備。当社の領域外の可能性が高い）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
奈良県,,奈良発　新技術・新ブランド・新販路創出支援事業,37800,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
福島県,,県産品販売拠点・情報発信強化事業,37121,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
山形県,,イノベーション・DXの推進とブランド力の強化による地域産業の競争力強化事業,35781,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
奈良県,奈良市,平和的・未来志向の国際交流都市へ　世界の奈良市ブランドを創造するプロジェクト,35165,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
静岡県,静岡市,デジタル関連企業誘致事業,34955,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
愛媛県,四国中央市,「日本一の紙のまち」シティプロモーション推進事業,33405,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
岩手県,,県産農林水産物の評価・認知度向上,31732,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
鳥取県,日吉津村,日吉津村地域資源を活用した新商品開発と販路開拓事業,28500,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
福岡県,福岡市,スタートアップ海外展開支援事業,28438,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
福井県,高浜町,ローカル・ゼブラ企業の育成と域外販路開拓による海業モデル構築事業,28181,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
北海道,東川町,大雪山国立公園天人峡自然環境整備による観光誘客推進プロジェクト,27953,ハード寄り（施設整備。当社の領域外の可能性が高い）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
福島県,桑折町,歴史観光交流センター（仮称）デジタル情報発信強化事業,27672,ハード寄り（施設整備。当社の領域外の可能性が高い）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
神奈川県,横浜市,サーキュラーエコノミー国際会議・展示会開催による地域経済活性化事業,27500,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
兵庫県,姫路市,ふるさとプロモーション推進事業,27372,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
滋賀県,,しがのビジネス海外展開プロジェクト事業,26849,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
福井県,,北陸新幹線、中部縦貫自動車道等交通網開通に合わせたインバウンド拡大推進事業,26840,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
秋田県,,県産食品海外販路開拓事業,26386,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
沖縄県,石垣市,石垣・基隆定期フェリー航路開設を軸とした石垣島産品国内外販路拡大事業,26188,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
三重県,,戦略的なプロモーションによる三重の魅力発信,25151,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
大阪府,,国内外競合と差別化できる、付加価値の高い農産品の輸出事業,24964,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
愛知県,名古屋市,海外スタートアップ等を軸にした産業競争力強化事業,24500,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
長崎県,五島市,多様化する旅行需要に対応した観光誘客プロジェクト,24230,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
岡山県,美作市,みまさか観光局を核とした観光振興体制確立・戦略的誘客促進事業,23520,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
島根県,,外貨獲得プロジェクト～県内事業者の販路拡大支援～,23500,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
鹿児島県,,プレミアムブランド構築による鹿児島の農林水産物販売促進プロジェクト,22349,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
山梨県,北杜市,「八ヶ岳南麓・馬のまち小淵沢」ブランド創出・拠点整備事業,21523,ハード寄り（施設整備。当社の領域外の可能性が高い）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
佐賀県,佐賀市,佐賀市インバウンド観光ブランド構築事業,20900,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
茨城県,,eスポーツを活用した地域ブランド確立事業,20717,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
鳥取県,,中国地域インバウンド誘致強化促進プロジェクト,20500,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
青森県,弘前市,デジタルマーケティングを活用した青森県津軽地域の観光地域づくり推進事業,20307,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
北海道,羅臼町,羅臼オートキャンプ場魅力向上及び観光プロモーション推進事業,19645,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
熊本県,,地域資源のリブランディングとインバウンド強化による地域活性化プロジェクト,19250,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
福井県,坂井市,シティプロモーション事業,19077,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
長野県,,企業等と連携したブランド構築・発信による女性・若者から選ばれる県づくり事業,19029,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
岩手県,,地場産業の高付加価値・販路開拓推進事業,18849,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
大阪府,泉佐野市,スタートアップ等の誘致・集積による産業振興事業,18500,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
群馬県,みどり市,岩宿博物館リニューアルと映画プロモーションによる岩宿遺跡活性化事業,18360,ハード寄り（施設整備。当社の領域外の可能性が高い）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
山形県,金山町,金山町シティプロモーション推進事業,18035,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
北海道,鷹栖町,官民連携の新たなタウンプロモーションによる地方創生人材の確保育成事業,17425,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
愛知県,一宮市,繊維企業海外販路開拓事業,17400,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
北海道,美唄市,スノーアクテビティを契機としたインバウンド拡大プロジェクト,17030,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
群馬県,前橋市,デジタル技術活用と地域事業者販路拡大による地域ブランディング事業,16750,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
福岡県,糸島市,ブランド力を活かした持続可能で豊かなまちづくり推進事業,16365,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
静岡県,,静岡の地域資源を活かしたインバウンド推進事業,15850,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
新潟県,燕市,「食」がつなぐ観光誘客促進・消費拡大プロジェクト,15749,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
北海道,,新たな戦略作物による北海道農業の持続的成長と販路拡大事業,15560,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
島根県,松江市,官民連携による松江市のインバウンド観光推進による持続可能な地域づくり,15207,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
千葉県,,発酵県ちばプロモーション事業,15200,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
愛知県,名古屋市,若年層や子育て世代の定着・流入促進の実現に向けたシティプロモーションの推進事業,15157,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
山形県,酒田市,持続可能な酒田の花火イベント構築事業,15000,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
静岡県,静岡市,工芸品海外販路開拓事業,15000,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
広島県,海田町,ブランディング及びプロモーション推進事業,15000,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
北海道,網走市,網走市観光デジタルプロモーション・マーケティング事業,14909,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
愛媛県,西予市,認知獲得から選ばれ移住者も市内若者も住み続けられる西予市へ,14590,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
山口県,下関市,ホテル誘致を起爆剤とした官民協働でのエリア再生,14500,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
熊本県,和水町,地域課題の解決に資するサテライトオフィス等誘致を核とした地方創生事業,14225,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
長野県,長野市,移住・定住情報発信事業,13750,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
静岡県,,スポーツを通じた静岡県への誘客促進事業,13600,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
兵庫県,,訪日外国人等観光客誘致プロジェクト～「世界一の食の島」を目指して～,13460,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
長崎県,佐世保市,ハウステンボスと九十九島の二大観光地を核とした誘客拡大と広域都市圏周遊促進事業,13249,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
北海道,むかわ町,恐竜ブランドを活かした過疎地域のクリエーション（創生）プロジェクト,13224,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
広島県,広島市,メタバースを活用した企業ＰＲ促進事業,13000,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
群馬県,前橋市,データドリブン経営構築及び前橋・赤城観光ブランド構築による観光振興事業,12971,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
鹿児島県,鹿児島市,シティプロモーションを通じた“鹿児島ファン”拡大プロジェクト,12750,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
広島県,竹原市,竹原発スタートアップ支援事業「人財の誘致・育成事業」,12615,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
福島県,棚倉町,歴史的資源を活用した観光誘客のための施設整備による賑わい創出事業,12613,ハード寄り（施設整備。当社の領域外の可能性が高い）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
茨城県,稲敷市,いなしきシティプロモーション事業,12435,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
愛知県,,外国企業誘致促進によるビジネスイノベーション加速化事業,12050,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
広島県,竹原市,『選ばれるまち竹原』から『稼ぐまち竹原』へ  ブランドの実装×経済成果の創出事業,11943,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
鹿児島県,天城町,アマギのタカラモノを再発見！タウンプロモーション推進プロジェクト,11855,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
北海道,芽室町,「農業王国めむろ」ブランドを活用した稼ぐ観光振興プロジェクト,11500,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
大阪府,泉南市,産×官×学共創による成長戦略「Sennan L.I.P」ブランド創造事業,11487,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
熊本県,八代市,アジア圏への八代産品輸出促進事業,11246,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
大阪府,門真市,マーケティング手法を活用したシティプロモーション推進事業,11193,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
北海道,北見市,オホーツク食材のブランド力を活用した交流人口拡大プロジェクト,11000,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
福島県,田村市,桜を起点としたデジタル誘客・消費喚起事業,10650,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
群馬県,前橋市,端末交通と歴史資源を活用した海外誘客促進事業,10601,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
岩手県,洋野町,オールHIRONOによるデジタルプロモーションを活用した地域課題解決事業,10500,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
愛知県,豊田市,豊田の強みを生かした戦略的な観光誘客事業,10159,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
福岡県,みやこ町,みやこ町シティプロモーション事業,10000,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
山形県,鶴岡市,イベント広場と循環バスの利用者の利便性向上による賑わい・居場所づくり,10000,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
山口県,岩国市,地域ブランドの構築とシティプロモーションの連携による地域活性化推進プロジェクト,10000,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
秋田県,秋田市,秋田市シティプロモーション推進事業,9710,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
栃木県,日光市,日光市新しい働き方推進によるひと・しごと誘致戦略プロジェクト,9258,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
島根県,出雲市,出雲市シティプロモーション事業,9100,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
秋田県,男鹿市,シティプロモーション推進事業,9071,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
徳島県,徳島市,徳島東部インバウンド観光地域づくり推進プロジェクト事業,9070,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
山口県,柳井市,大畠観光センターリニューアル拠点再編・情報発信強化事業,9029,ハード寄り（施設整備。当社の領域外の可能性が高い）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
北海道,苫小牧市,半導体 × ＧＸ / 物流拠点　産業立地プロモーション事業,9010,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
宮城県,仙台市,重点産業スタートアップ誘致・実証支援事業,9000,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
茨城県,,県北地域資源を活用したインバウンド誘客推進事業,8950,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
埼玉県,,Saitama-Connect企業誘致推進事業,8810,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
静岡県,静岡市,「静岡市のお茶」ブランド力向上事業,8758,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
北海道,美唄市,美唄シティプロモーション推進事業,8299,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
北海道,江別市,えべつシティプロモーション高度化プロジェクト,8258,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
愛知県,東浦町,スポーツイベント等のイベント開催を通じたにぎわいのあるまちづくり事業,7713,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
岩手県,八幡平市,地方と首都圏を結ぶサテライトオフィス誘致プラットフォーム構築による地域活性化事業,7617,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
千葉県,,輸出に取り組む生産者のリーディング事例構築事業,7500,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
鹿児島県,出水市,地域ブランド「いずちょく」の構築による地域経済活性化好循環プロジェクト,7500,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
山梨県,韮崎市,韮崎産ワインプロモーション事業,7496,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
北海道,上士幌町,「ふるさと住民登録制度」を核としたEC販路拡大と地域雇用創出事業,7240,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
長崎県,五島市,ターゲット拡大及び情報発信の充実によるUIターン促進プロジェクト,7105,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
大分県,中津市,移住定住促進×シティプロモーション×地域の産業力向上によるまちの活性化事業,7050,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
栃木県,足利市,「足利氏のふるさと」ツーリズム観光誘客促進事業,7000,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
岡山県,岡山市,鎮護国家の甍を生んだ「万富東大寺瓦窯跡」情報発信事業,7000,ソフト（当社の領域）,未確認（交付決定のみ。委託の公募が出るかは各自治体の調達ページで確認する）
