domain,org,pref,category,source_directory,url,procurement_url,tier,frequency,last_checked,status,note
city.kyoto.lg.jp,京都市,京都,自治体本体（政令市）,government,https://www.city.kyoto.lg.jp/,,tier_a,every_run,2026-08-21,要手動確認（未発見）,シティプロモーション・観光・産業振興
city.kobe.lg.jp,神戸市,兵庫,自治体本体（政令市）,government,https://city.kobe.lg.jp/,,tier_a,every_run,2026-08-21,到達不可,シティプロモーション・観光・産業振興
city.sapporo.jp,札幌市,北海道,自治体本体（政令市）,government,https://city.sapporo.jp/,https://city.sapporo.jp/zaisei/keiyaku-kanri/index.html,tier_a,every_run,2026-08-20,確認済み,シティプロモーション・観光・産業振興
city.chiba.jp,千葉市,千葉,自治体本体（政令市）,government,https://city.chiba.jp/,,tier_a,every_run,2026-08-21,到達不可,シティプロモーション・観光・産業振興
city.saitama.lg.jp,さいたま市,埼玉,自治体本体（政令市）,government,https://www.city.saitama.lg.jp/,https://www.city.saitama.lg.jp/005/001/017/index.html,tier_a,every_run,2026-08-20,確認済み,シティプロモーション・観光・産業振興
city.sakai.lg.jp,堺市,大阪,自治体本体（政令市）,government,https://www.city.sakai.lg.jp/,https://www.city.sakai.lg.jp/boshu/index.html,tier_a,every_run,2026-08-20,確認済み,シティプロモーション・観光・産業振興
city.sendai.jp,仙台市,宮城,自治体本体（政令市）,government,https://www.city.sendai.jp/,https://www.city.sendai.jp/boshu/index.html,tier_a,every_run,2026-08-20,確認済み,シティプロモーション・観光・産業振興
city.okayama.jp,岡山市,岡山,自治体本体（政令市）,government,https://city.okayama.jp/,,tier_a,every_run,2026-08-21,到達不可,シティプロモーション・観光・産業振興
city.hiroshima.lg.jp,広島市,広島,自治体本体（政令市）,government,https://www.city.hiroshima.lg.jp/,https://www.city.hiroshima.lg.jp/business/nyusatsu/index.html,tier_a,every_run,2026-08-20,確認済み,シティプロモーション・観光・産業振興
city.nagoya.jp,名古屋市,愛知,自治体本体（政令市）,government,https://www.city.nagoya.jp/,https://www.city.nagoya.jp/jigyou/nyusatsu/index.html,tier_a,every_run,2026-08-20,確認済み,シティプロモーション・観光・産業振興
city.niigata.lg.jp,新潟市,新潟,自治体本体（政令市）,government,https://www.city.niigata.lg.jp/,https://www.city.niigata.lg.jp/business/keiyaku/index.html,tier_a,every_run,2026-08-20,確認済み,シティプロモーション・観光・産業振興
city.kumamoto.jp,熊本市,熊本,自治体本体（政令市）,government,http://www.city.kumamoto.jp/,http://www.city.kumamoto.jp/list04195.html,tier_a,every_run,2026-08-20,確認済み,シティプロモーション・観光・産業振興
city.kawasaki.jp,川崎市,神奈川,自治体本体（政令市）,government,https://www.city.kawasaki.jp/,https://www.city.kawasaki.jp/main/collect/curr.html,tier_a,every_run,2026-08-20,確認済み,シティプロモーション・観光・産業振興
city.yokohama.lg.jp,横浜市,神奈川,自治体本体（政令市）,government,https://www.city.yokohama.lg.jp/,https://www.city.yokohama.lg.jp/business/nyusatsu/index.html,tier_a,every_run,2026-08-20,確認済み,シティプロモーション・観光・産業振興
city.sagamihara.kanagawa.jp,相模原市,神奈川,自治体本体（政令市）,government,https://www.city.sagamihara.kanagawa.jp/,https://www.city.sagamihara.kanagawa.jp/shisei/1026815/boshu/index.html,tier_a,every_run,2026-08-20,確認済み,シティプロモーション・観光・産業振興
city.kitakyushu.lg.jp,北九州市,福岡,自治体本体（政令市）,government,https://www.city.kitakyushu.lg.jp/,https://www.city.kitakyushu.lg.jp/business/menu003_00001.html,tier_a,every_run,2026-08-20,確認済み,シティプロモーション・観光・産業振興
city.fukuoka.lg.jp,福岡市,福岡,自治体本体（政令市）,government,https://www.city.fukuoka.lg.jp/,https://www.city.fukuoka.lg.jp/business/keiyaku-kobo/index.html,tier_a,every_run,2026-08-20,確認済み,シティプロモーション・観光・産業振興
city.hamamatsu.shizuoka.jp,浜松市,静岡,自治体本体（政令市）,government,https://www.city.hamamatsu.shizuoka.jp/,https://www.city.hamamatsu.shizuoka.jp/sangyo/hatchu/index.html,tier_a,every_run,2026-08-20,確認済み,シティプロモーション・観光・産業振興
city.shizuoka.lg.jp,静岡市,静岡,自治体本体（政令市）,government,https://www.city.shizuoka.lg.jp/,https://www.city.shizuoka.lg.jp/s004405.html,tier_a,every_run,2026-08-20,要手動確認（候補のみ）,シティプロモーション・観光・産業振興
pref.mie.lg.jp,三重県庁,三重,自治体本体（都道府県）,government,https://www.pref.mie.lg.jp/,https://www.pref.mie.lg.jp/ebid-mie/index.htm,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.kyoto.jp,京都庁,京都,自治体本体（都道府県）,government,https://www.pref.kyoto.jp/,https://www.pref.kyoto.jp/shinchaku/nyusatsu/index.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.saga.lg.jp,佐賀県庁,佐賀,自治体本体（都道府県）,government,https://www.pref.saga.lg.jp/,https://www.pref.saga.lg.jp/list00631.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
web.pref.hyogo.lg.jp,兵庫県庁,兵庫,自治体本体（都道府県）,government,https://web.pref.hyogo.lg.jp/,https://web.pref.hyogo.lg.jp/kobo_boshu/index.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.hokkaido.lg.jp,北海道庁,北海道,自治体本体（都道府県）,government,https://www.pref.hokkaido.lg.jp/,https://www.pref.hokkaido.lg.jp/ks/skn/est/ezosika_tender.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.chiba.lg.jp,千葉県庁,千葉,自治体本体（都道府県）,government,https://www.pref.chiba.lg.jp/,https://www.pref.chiba.lg.jp/event-koubo/index.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.wakayama.lg.jp,和歌山県庁,和歌山,自治体本体（都道府県）,government,https://www.pref.wakayama.lg.jp/,https://www.pref.wakayama.lg.jp/whatsnew/nyusatsu.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.saitama.lg.jp,埼玉県庁,埼玉,自治体本体（都道府県）,government,https://www.pref.saitama.lg.jp/,https://www.pref.saitama.lg.jp/a0212/densinyusatsu/index.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.oita.jp,大分県庁,大分,自治体本体（都道府県）,government,https://pref.oita.jp/,https://pref.oita.jp/soshiki/20010/keiyaku.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.osaka.lg.jp,大阪庁,大阪,自治体本体（都道府県）,government,https://www.pref.osaka.lg.jp/,https://eawww.e-nyusatsu.pref.osaka.jp/portal/index,tier_a,every_run,2026-08-20,要手動確認（中身が薄い）,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.nara.jp,奈良県庁,奈良,自治体本体（都道府県）,government,https://pref.nara.jp/,,tier_a,every_run,2026-08-21,到達不可,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.miyagi.jp,宮城県庁,宮城,自治体本体（都道府県）,government,https://www.pref.miyagi.jp/,https://www.pref.miyagi.jp/life/8/40/,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.miyazaki.lg.jp,宮崎県庁,宮崎,自治体本体（都道府県）,government,https://www.pref.miyazaki.lg.jp/,https://www.pref.miyazaki.lg.jp/shinchaku/nyusatsu/nyusatsu.xml,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.toyama.jp,富山県庁,富山,自治体本体（都道府県）,government,https://pref.toyama.jp/,,tier_a,every_run,2026-08-21,到達不可,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.yamaguchi.lg.jp,山口県庁,山口,自治体本体（都道府県）,government,https://www.pref.yamaguchi.lg.jp/,https://www.pref.yamaguchi.lg.jp/life/6/index.html#life6_b2,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.yamagata.jp,山形県庁,山形,自治体本体（都道府県）,government,https://www.pref.yamagata.jp/,https://www.pref.yamagata.jp/kensei/nyuusatsujouhou/nyuusatsujouhou/proposal/index.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易振興課／県産品流通戦略課／観光プロモーション課が毎年プロポーザルを出す。実測で確認
pref.yamanashi.jp,山梨県庁,山梨,自治体本体（都道府県）,government,https://www.pref.yamanashi.jp/,https://www.pref.yamanashi.jp/shinchaku/jouho/0808/groupware.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.gifu.lg.jp,岐阜県庁,岐阜,自治体本体（都道府県）,government,https://www.pref.gifu.lg.jp/,https://www.pref.gifu.lg.jp/site/bid/,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.okayama.jp,岡山県庁,岡山,自治体本体（都道府県）,government,https://www.pref.okayama.jp/,https://www.pref.okayama.jp/adv/ba.php?id=128,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.shimane.lg.jp,島根県庁,島根,自治体本体（都道府県）,government,https://www.pref.shimane.lg.jp/,https://www.pref.shimane.lg.jp/admin/bid/contract/cont_soumu/keiyaku.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.hiroshima.lg.jp,広島県庁,広島,自治体本体（都道府県）,government,https://www.pref.hiroshima.lg.jp/,https://www.pref.hiroshima.lg.jp/site/nyusatsukeiyaku/webad2026.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.tokushima.lg.jp,徳島県庁,徳島,自治体本体（都道府県）,government,https://pref.tokushima.lg.jp/,https://pref.tokushima.lg.jp/ippannokata/nyusatsu/,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.aichi.jp,愛知県庁,愛知,自治体本体（都道府県）,government,https://www.pref.aichi.jp/,,tier_a,every_run,2026-08-21,要手動確認（未発見）,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.niigata.lg.jp,新潟県庁,新潟,自治体本体（都道府県）,government,https://www.pref.niigata.lg.jp/,https://www.pref.niigata.lg.jp/sec/kyoikufukuri/080807nyuusatsukekka.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.tochigi.lg.jp,栃木県庁,栃木,自治体本体（都道府県）,government,https://www.pref.tochigi.lg.jp/,https://www.pref.tochigi.lg.jp/kensei/nyuusatsu/index.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.okinawa.jp,沖縄県庁,沖縄,自治体本体（都道府県）,government,https://www.pref.okinawa.jp/,https://www.pref.okinawa.lg.jp/shigoto/nyusatsukeiyaku/1015342/index.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.shiga.lg.jp,滋賀県庁,滋賀,自治体本体（都道府県）,government,https://www.pref.shiga.lg.jp/,https://www.pref.shiga.lg.jp/zigyousya/nyusatsubaikyaku/,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.ishikawa.lg.jp,石川県庁,石川,自治体本体（都道府県）,government,https://www.pref.ishikawa.lg.jp/,https://www.pref.ishikawa.lg.jp/kodomoseisaku/kodomo-wakamonoikenbako.html,tier_a,every_run,2026-08-20,要手動確認（候補のみ）,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.kanagawa.jp,神奈川県庁,神奈川,自治体本体（都道府県）,government,https://www.pref.kanagawa.jp/,https://www.pref.kanagawa.jp/select/nyuusatsu.html,tier_a,every_run,2026-08-20,要手動確認（中身が薄い）,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.fukuoka.lg.jp,福岡県庁,福岡,自治体本体（都道府県）,government,https://www.pref.fukuoka.lg.jp/,https://www.pref.fukuoka.lg.jp/bid/,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.fukushima.lg.jp,福島県庁,福島,自治体本体（都道府県）,government,https://pref.fukushima.lg.jp/,,tier_a,every_run,2026-08-21,到達不可,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.akita.lg.jp,秋田県庁,秋田,自治体本体（都道府県）,government,https://www.pref.akita.lg.jp/,https://www.pref.akita.lg.jp/pages/genre/11700,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.gunma.jp,群馬県庁,群馬,自治体本体（都道府県）,government,https://www.pref.gunma.jp/,https://www.pref.gunma.jp/adv/ba.php?id=14,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.ibaraki.jp,茨城県庁,茨城,自治体本体（都道府県）,government,https://www.pref.ibaraki.jp/,https://www.pref.ibaraki.jp/shiru/nyusatsu-chotatsu/index.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.nagasaki.jp,長崎県庁,長崎,自治体本体（都道府県）,government,https://www.pref.nagasaki.jp/,https://www.pref.nagasaki.jp/bunrui/kenseijoho/nyusatsu-chotatsujoho/,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.nagano.lg.jp,長野県庁,長野,自治体本体（都道府県）,government,https://www.pref.nagano.lg.jp/,https://www.pref.nagano.lg.jp/kensei/nyusatsu/index.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.aomori.lg.jp,青森県庁,青森,自治体本体（都道府県）,government,https://www.pref.aomori.lg.jp/,https://www.pref.aomori.lg.jp/koho/nyusatsu_iriguchi.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.shizuoka.jp,静岡県庁,静岡,自治体本体（都道府県）,government,https://www.pref.shizuoka.jp/,https://www.pref.shizuoka.jp/kensei/nyusatsukobai/index.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.kochi.lg.jp,高知県庁,高知,自治体本体（都道府県）,government,https://www.pref.kochi.lg.jp/,https://www.pref.kochi.lg.jp/category/bunya/shigoto_sangyo/nyusatsujoho/,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.tottori.lg.jp,鳥取県庁,鳥取,自治体本体（都道府県）,government,https://www.pref.tottori.lg.jp/,https://www.pref.tottori.lg.jp/,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
pref.kagoshima.jp,鹿児島県庁,鹿児島,自治体本体（都道府県）,government,https://www.pref.kagoshima.jp/,https://www.pref.kagoshima.jp/ah01/infra/tochi-kensetu/nyusatu/r9-10shikaku.html,tier_a,every_run,2026-08-20,確認済み,県産品・貿易・観光の各課がプロポーザルを出す。入札情報／公募型プロポーザルの一覧を見る
sec.or.jp,（一財）さっぽろ産業振興財団,,都道府県等中小企業支援センター,chusho_shien,http://www.sec.or.jp/top/,,tier_a,,2026-08-21,要手動確認（未発見）,中小企業支援法に基づく指定法人。47都道府県＋政令市
kobe-ipc.or.jp,（公財）こうべ産業・就労支援財団,,都道府県等中小企業支援センター,chusho_shien,http://www.kobe-ipc.or.jp/,https://kobe-ipc.or.jp/archives/category/public-offering,tier_a,,2026-08-20,要手動確認（候補のみ）,中小企業支援法に基づく指定法人。47都道府県＋政令市
siip.city.sendai.jp,（公財）仙台市産業振興事業団,,都道府県等中小企業支援センター,chusho_shien,http://www.siip.city.sendai.jp/,http://www.siip.city.sendai.jp/documents/20260701.pdf,tier_a,,2026-08-20,要手動確認（候補のみ）,中小企業支援法に基づく指定法人。47都道府県＋政令市
ksrp.or.jp,（公財）北九州産業学術推進機構,,都道府県等中小企業支援センター,chusho_shien,http://www.ksrp.or.jp/fais/,https://www.ksrp.or.jp/offer/index.html,tier_a,,2026-08-20,要手動確認（候補のみ）,中小企業支援法に基づく指定法人。47都道府県＋政令市
nipc.or.jp,（公財）名古屋産業振興公社,,都道府県等中小企業支援センター,chusho_shien,http://www.nipc.or.jp/index.html,http://www.nipc.or.jp/gotech/index.html,tier_a,,2026-08-20,確認済み,中小企業支援法に基づく指定法人。47都道府県＋政令市
sakai-ipc.jp,（公財）堺市産業振興センター,,都道府県等中小企業支援センター,chusho_shien,https://www.sakai-ipc.jp/,https://www.sakai-ipc.jp/#navLinkPopup02,tier_a,,2026-08-20,確認済み,中小企業支援法に基づく指定法人。47都道府県＋政令市
kawasaki-net.ne.jp,（公財）川崎市産業振興財団,,都道府県等中小企業支援センター,chusho_shien,http://www.kawasaki-net.ne.jp/,,tier_a,,2026-08-21,要手動確認（未発見）,中小企業支援法に基づく指定法人。47都道府県＋政令市
idec.or.jp,（公財）横浜企業経営支援財団,,都道府県等中小企業支援センター,chusho_shien,http://www.idec.or.jp/,http://www.idec.or.jp/topics/entry_info.html?id=3059,tier_a,,2026-08-20,確認済み,中小企業支援法に基づく指定法人。47都道府県＋政令市
miesc.or.jp,（公財）三重県産業支援センター,三重,都道府県等中小企業支援センター,chusho_shien,http://www.miesc.or.jp/,http://www.miesc.or.jp/#jmp_compe,tier_a,,2026-08-20,確認済み,中小企業支援法に基づく指定法人。47都道府県＋政令市
ki21.jp,（公財）京都産業21,京都,都道府県等中小企業支援センター,chusho_shien,http://www.ki21.jp/,https://www.ki21.jp/informations/2026clkoubokekka/,tier_a,,2026-08-20,確認済み,中小企業支援法に基づく指定法人。47都道府県＋政令市
astem.or.jp,（公財）京都高度技術研究所,京都,都道府県等中小企業支援センター,chusho_shien,http://www.astem.or.jp/,https://www.astem.or.jp/entre/startup/app2026,tier_a,,2026-08-20,要手動確認（候補のみ）,中小企業支援法に基づく指定法人。47都道府県＋政令市
infosaga.or.jp,（公財）佐賀県産業振興機構,佐賀,都道府県等中小企業支援センター,chusho_shien,http://www.infosaga.or.jp/,,tier_a,,2026-08-21,到達不可,中小企業支援法に基づく指定法人。47都道府県＋政令市
web.hyogo-iic.ne.jp,（公財）ひょうご産業活性化センター,兵庫,都道府県等中小企業支援センター,chusho_shien,http://web.hyogo-iic.ne.jp/,https://web.hyogo-iic.ne.jp/guide/kinyu,tier_a,,2026-08-20,要手動確認（中身が薄い）,中小企業支援法に基づく指定法人。47都道府県＋政令市
hsc.or.jp,（公財）北海道中小企業総合支援センター,北海道,都道府県等中小企業支援センター,chusho_shien,https://www.hsc.or.jp/,https://www.hsc.or.jp/hsc_wp/wp-content/uploads/2026/08/2026_koubo_calendar_20260820.pdf,tier_a,,2026-08-20,要手動確認（中身が薄い）,中小企業支援法に基づく指定法人。47都道府県＋政令市
chibashi-sangyo.or.jp,（公財）千葉市産業振興財団,千葉,都道府県等中小企業支援センター,chusho_shien,http://www.chibashi-sangyo.or.jp/,https://www.chibashi-sangyo.or.jp/info-all/13736/,tier_a,,2026-08-20,要手動確認（候補のみ）,中小企業支援法に基づく指定法人。47都道府県＋政令市
ccjc-net.or.jp,（公財）千葉県産業振興センター,千葉,都道府県等中小企業支援センター,chusho_shien,http://www.ccjc-net.or.jp/,http://www.ccjc-net.or.jp/category_list.php?frmCd=49-4-0-0-0,tier_a,,2026-08-20,確認済み,中小企業支援法に基づく指定法人。47都道府県＋政令市
yarukiouendan.or.jp,（公財）わかやま産業振興財団,和歌山,都道府県等中小企業支援センター,chusho_shien,https://yarukiouendan.or.jp/,https://yarukiouendan.or.jp/news/lifedesign_soushoku_2027/,tier_a,,2026-08-20,確認済み,中小企業支援法に基づく指定法人。47都道府県＋政令市
sozo-saitama.or.jp,（公財）さいたま市産業創造財団,埼玉,都道府県等中小企業支援センター,chusho_shien,http://www.sozo-saitama.or.jp/,http://www.sozo-saitama.or.jp/#yushi,tier_a,,2026-08-20,確認済み,中小企業支援法に基づく指定法人。47都道府県＋政令市
saitama-j.or.jp,（公財）埼玉県産業振興公社,埼玉,都道府県等中小企業支援センター,chusho_shien,http://www.saitama-j.or.jp/,http://www.saitama-j.or.jp/pages/339?detail=1&amp;b_id=515&amp;r_id=783#block515,tier_a,,2026-08-20,要手動確認（候補のみ）,中小企業支援法に基づく指定法人。47都道府県＋政令市
