案件名,発注機関,関連度,調達案件番号,過年度実績件数,直近落札日,直近落札金額,直近落札者,根拠,URL
東南アジア地域の交通インフラ分野における本邦企業の強みを活用した海外展開・案件形成可能性調査,国土交通省,3,,0,,,,過去実績なし。仕様書からの積算が必要,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115
海外バイヤー向け酒蔵等視察事業実施に関する運営業務の委託,財務省,3,0000000000000619840,1,2026-05-26,3930069,株式会社エモック・エンタープライズ,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619840
08-0049-0048 SET EXPO 2026における日本パビリオン出展を通じたブラジルTV3.0市場への我が国の放送・通信関連技術の展開促進に関する調査研究の請負,総務省,3,0000000000000571717,1,2026-03-03,14700000,株式会社オーエムシー,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000571717
令和８年度２０２７年国際園芸博覧会政府出展の管理運営等に係る業務 一式,国土交通省,3,,0,,,,過去実績なし。仕様書からの積算が必要,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115
令和7年度（繰越）瀬戸内海国立公園インバウンド向けプロモーション計画素案作成業務,環境省,3,0000000000000604772,1,2026-06-30,1940000,株式会社シマトワークス,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000604772
07-0049-0264 量子中継技術の国際展開に向けた海外調査の請負,総務省,2,0000000000000551639,1,2025-12-04,22500000,ＬＱＵＯＭ株式会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000551639
量子中継技術の国際展開に向けた海外実証等の請負,総務省,2,0000000000000611275,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000611275
08-0049-0213 量子中継技術の国際展開に向けた海外実証等の請負（再度公告）,総務省,2,0000000000000616621,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000616621
令和８年度 ウポポイ海外プロモーション業務,国土交通省,2,0000000000000617024,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000617024
令和７年度２０２７年国際園芸博覧会政府出展屋外展示制作に係る業務 一式,国土交通省,2,,0,,,,過去実績なし。仕様書からの積算が必要,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115
令和７年度補正２０２７年国際園芸博覧会国際出展支援業務 一式,国土交通省,2,,0,,,,過去実績なし。仕様書からの積算が必要,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115
令和８年度２０２７年国際園芸博覧会国際出展支援業務 一式,国土交通省,2,,0,,,,過去実績なし。仕様書からの積算が必要,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115
第３回日土観光交流促進協議会の運営業務,国土交通省,2,,0,,,,過去実績なし。仕様書からの積算が必要,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115
国際見本市等を通じた放送コンテンツの情報発信に関する調査,総務省,2,0000000000000573262,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000573262
関西国際空港における「伝統的酒造り」及び近畿産酒類のＰＲイベントの運営業務委託,財務省,2,0000000000000618339,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618339
インバウンド集中地域における地域還元手法に関する調査研究事業,国土交通省,2,,0,,,,過去実績なし。仕様書からの積算が必要,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115
マレーシア及びオーストラリアにおける国際標準化活動促進ワークショップ開催事務の請負,総務省,2,0000000000000594887,1,2026-05-14,8849500,株式会社イベントアンドコンベンションハウス,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000594887
電気通信機器に係る国際ワークショップ運営事務及び基準・認証制度に関する国際調査業務の請負,総務省,2,0000000000000612182,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000612182
08-0049-0185 次世代移動通信等に関する国際連携推進に向けた国際ワークショップの開催事務の請負,総務省,2,0000000000000613173,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000613173
ブータン及びスリランカにおける国際標準化活動促進ワークショップ開催事務の請負,総務省,2,0000000000000614188,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000614188
令和８年度安全保障国際シンポジウム及び国際安全保障コロキアム開催に 係る運営業務,防衛省,2,0000000000000617761,1,2025-09-25,4517625,ソフトウエアエンジニアリング株式会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000617761
シンポジウム「国際シンポジウム２０２７（仮称）」における設営及び運営等業務,財務省,2,0000000000000618172,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618172
国際会議に係る会議運営等業務,国家公安委員会（警察庁）,2,0000000000000618695,1,2025-11-07,7300000,株式会社シバムジーク,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618695
堺泉北港汐見沖地区国際物流ターミナル完成式典運営補助業務,国土交通省,2,0000000000000618810,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618810
【東京航空局】令和８年度ＰＦＩ手法による「東京国際空港国際線地区旅客ターミナルビル等整備・運営事業」 等に関する検討業務,国土交通省,2,0000000000000620239,1,2023-12-08,16900000,株式会社日本総合研究所,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000620239
欧州・インド太平洋ラウンドテーブル国際会議運営業務委託,防衛省,2,0000000000000623046,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000623046
令和４年度大山隠岐国立公園海外向け情報発信強化業務,環境省,1,0000000000000342864,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000342864
令和４年度大山隠岐国立公園海外向け情報発信強化業務【再度公告】,環境省,1,0000000000000346772,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000346772
07-0049-0256 量子暗号通信の社会実装加速化に向けた海外調査等の請負,総務省,1,0000000000000551372,1,2025-11-28,69800000,デロイトトーマツコンサルティング合同会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000551372
07-0049-0273 放送コンテンツの海外市場規模に関する実態調査,総務省,1,0000000000000553525,1,2025-12-15,13000000,株式会社三菱総合研究所,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000553525
令和８年度海外用携帯電話・データ通信機器の提供,総務省,1,0000000000000562335,1,2026-02-17,2888346,エクスモバイル株式会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000562335
海外郵政関連情報の収集等の請負,総務省,1,0000000000000565131,3,2026-02-25,9035000,一般財団法人マルチメディア振興センター,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000565131
海外AIデータセンターへのオール光ネットワーク技術の展開に向けた調査研究の請負,総務省,1,0000000000000566327,1,2026-02-17,380000000,株式会社ＡＣＣＥＳＳ,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000566327
海外における分散データセンター向け大容量・超低消費電力モジュール技術の展開・実証及び調査研究の請負,総務省,1,0000000000000608873,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000608873
動画配信サービス等における日本コンテンツの海外視聴実態に関する調査研究の請負,総務省,1,0000000000000617099,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000617099
海外における渡航移植及び臓器移植制度等に関する調査業務一式,厚生労働省,1,0000000000000617538,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000617538
令和８年度 海外向けグラフィック日本事情発信誌「にぽにか （niponica）」の制作・複製及び納入,外務省,1,0000000000000617894,2,2025-12-12,15755000,株式会社平凡社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000617894
【特許庁】令和８年度産業財産権制度各国比較調査研究等事業「海外庁における特許審査ハイウェイ（ＰＰＨ）申請出願の状況に関する調査研究」,経済産業省,1,0000000000000618017,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618017
【資エ庁】令和７年度補正廃炉・汚染水・処理水対策事業（海外における廃炉への取組事例に関する情報収集・調査・分析等）,経済産業省,1,0000000000000618862,4,2026-04-15,48255480,株式会社電通,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618862
海外地域（インド・南アフリカ）における酒類の規制調査業務の委託,財務省,1,0000000000000618942,1,2026-05-22,9900000,株式会社野村総合研究所,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618942
令和８年度中部山岳国立公園南部地域「Kita Alps Traverse Route」におけるロングトレイルを通じた感動体験・海外情報発信業務,環境省,1,0000000000000619753,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619753
【本省】令和８年度皮革産業振興対策事業（新たなクラスター形成及び海外需要獲得に向けた調査事業）,経済産業省,1,0000000000000620909,1,2025-08-22,15000000,有限責任監査法人トーマツ,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000620909
海外地域（インド・南アフリカ）における酒類の規制調査業務の委託,財務省,1,0000000000000620923,1,2026-05-22,9900000,株式会社野村総合研究所,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000620923
令和８年度海外用Ｗｉ－Ｆｉルーター及び携帯電話等の借上げ業務一式,厚生労働省,1,0000000000000621879,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000621879
海外におけるカジノ事業者等の監督手法の実態調査,カジノ管理委員会,1,0000000000000622208,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000622208
【本省】令和８年度産業保安等調査研究事業（リチウムイオン蓄電池起因事故の海外動向調査と原因究明高度化に関する調査事業）,経済産業省,1,0000000000000622947,27,2026-07-27,24500000,株式会社三菱総合研究所,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000622947
令和８年度海外テレビ局提供・海外広報用日本紹介映像資料「JAPAN VIDEO TOPICS」の制作・複製及び納入,外務省,1,0000000000000623137,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000623137
2026年度 Smart JAMPスマートシティ実現に向けた調査検討業務（海外ドナー案件獲得）（仮称）,国土交通省,1,,0,,,,過去実績なし。仕様書からの積算が必要,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115
「MWCバルセロナ2027」への日本ブース出展を通じた我が国ICT企業のグローバル展開促進に関する調査研究の請負,総務省,1,0000000000000568974,1,2026-02-26,82489142,一般財団法人日本ＩＴＵ協会,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000568974
「AI for Good Global Summit 2026」への日本ブース出展を通じたAI分野のスタートアップのグローバル展開促進に関する調査研究の請負,総務省,1,0000000000000580491,1,2026-03-26,27102900,一般財団法人日本ＩＴＵ協会,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000580491
インドにおける我が国ICT企業のグローバル展開促進（インド・モバイル・コングレス2026出展）に関する調査研究の請負,総務省,1,0000000000000600396,2,2026-06-24,40897282,株式会社ＪＴＢコミュニケーションデザイン,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000600396
令和４年度旅行博覧会における中国四国地方の国立公園プロモーション業務,環境省,1,0000000000000352160,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000352160
国債広告（地方プロモーション）の企画・制作及び実施委託業務 一式,財務省,1,0000000000000419662,4,2026-03-17,384390000,株式会社博報堂,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000419662
令和５年度大山隠岐国立公園におけるストーリー構築のための観光資源価値調査等業務,環境省,1,0000000000000403270,1,2023-09-28,3476000,株式会社一成,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000403270
令和８年度霧島錦江湾国立公園ネイチャーポジティブ観光推進業務,環境省,1,0000000000000621612,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000621612
中央アジア広域観光（シルクロード広域観光）促進に向けた調査委託,外務省,1,0000000000000621924,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000621924
観光庁環境整備業務,国土交通省,1,0000000000000622095,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000622095
観光庁環境整備業務一式（電子入札対象案件）,国土交通省,1,,0,,,,過去実績なし。仕様書からの積算が必要,https://www.p-portal.go.jp/pps-web-biz/UAA01/OAA0100?OAA0115
令和8年度文化庁乗用自動車（ハイヤー）雇上げ 一式,文部科学省,1,0000000000000561332,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000561332
【規制庁】令和８年度組織文化の評価に係る事例調査,環境省,1,0000000000000618047,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000618047
令和８年度文化啓発用品の調達,外務省,1,0000000000000619211,3,2025-09-19,10056220,株式会社そごう・西武,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619211
日独共同統合衛生訓練に伴う文化研修支援等役務,防衛省,1,0000000000000620184,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000620184
研究者のウェルビーイングと研究文化に関する調査の実施支援業務,文部科学省,1,0000000000000621987,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000621987
令和８年度中小企業実態調査事業（地域における食文化産業エコシステム構築に向けた実証調査事業）,経済産業省,1,0000000000000622679,41,2026-08-10,5382300,株式会社東京商工リサーチ,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000622679
「伝統的酒造りシンポジウムin四国」の開催に係る運営等業務,財務省,1,0000000000000410256,1,2023-11-17,2268000,株式会社ネオビエント,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000410256
ジャパン・ハウス事業のコンサルティング業務（ジャパン・ハウス運営上のガバナンス強化に資する改善策についての調査・提言）,外務省,1,0000000000000619265,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000619265
令和７年度国立京都国際会館非常用放送設備更新工事,財務省,1,0000000000000529493,1,2025-06-30,59000000,パナソニックＥＷエンジニアリング株式会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000529493
ワイヤレス分野の重点技術領域及び推進方策、並びに次世代モバイルネットワークの高度化に向けた国際連携の推進戦略に関する調査検討,総務省,1,0000000000000545811,1,2025-10-17,80000000,株式会社三菱総合研究所,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000545811
情報通信・デジタル分野における国際標準化（ルール形成）活動の持続的推進を支える人材基盤の強化に資する講習カリキュラム及び教育プログラム等の整備並びにその実効的運用等に関する調査の~,総務省,1,0000000000000547428,1,2025-11-06,55000000,株式会社野村総合研究所,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000547428
07-0049-0230 令和７年度 国際データ取引市場創出事業の請負,総務省,1,0000000000000547486,3,2026-07-22,60000000,一般社団法人データ社会推進協議会,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000547486
情報通信・デジタル分野における国際標準化（ルール形成）活動の持続的推進を支える人材基盤の強化に資する標準化人材の役割・業務・知識・スキル等の体系的整備等に関する請負,総務省,1,0000000000000547565,2,2025-11-14,71000000,一般社団法人情報通信技術委員会,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000547565
07-0049-0257 世界の放送をめぐる現状・動向を踏まえた国際市場動向の調査,総務省,1,0000000000000551376,1,2025-12-03,11295000,株式会社オーエムシー,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000551376
デジタルインフラ分野の国際競争力の強化に向けた安全保障分野における先端情報通信システム等の活用促進に関する調査研究,総務省,1,0000000000000551717,1,2025-12-03,67320000,ボストン・コンサルティング・グループ合同会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000551717
国際間接続ネットワーク分野におけるオール光ネットワーク技術の普及に向けた調査研究の請負,総務省,1,0000000000000551723,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000551723
国際的AI ガバナンス枠組みの相互運用性に係る調査の請負,総務省,1,0000000000000552237,1,2025-12-05,12000000,ＰｗＣコンサルティング合同会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000552237
南西諸島周辺地域における新たな海底ケーブルに対する需要動向及びデジタル関連産業の国際競争力強化に関する調査研究,総務省,1,0000000000000558490,1,2026-01-27,36000000,ＮＴＴドコモビジネス株式会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000558490
我が国における情報セキュリティ産業の高度化・国際競争力の強化に向けた米国の産学官連携に係るラウンドテーブル開催の請負,総務省,1,0000000000000558602,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000558602
国内外におけるICT市場及び関連市場の動向分析と国内ICT産業の国際競争力評価に関する調査研究の請負,総務省,1,0000000000000562664,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000562664
令和8年度「船舶航行の安全性・効率性向上のための無線システムの高度化に関する国際機関等との連絡調整事務」,総務省,1,0000000000000566299,2,2026-03-03,36200000,日本無線株式会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000566299
国際戦略局長室の応接セット等の調達,総務省,1,0000000000000569180,1,2026-03-05,6700000,幸和商事株式会社,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000569180
国際電気通信連合（ITU）理事会におけるレセプション開催に係る事務請負,総務省,1,0000000000000569288,1,2026-02-12,5620000,株式会社オーエムシー,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000569288
08-0049-0033 サイバーセキュリティに係る国際標準化動向調査の請負,総務省,1,0000000000000569309,4,2026-03-05,28788251,株式会社ＮＴＴデータ経営研究所,落札実績オープンデータ（同一事業と判定）,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000569309
陸上移動通信システムの国際協調に向けた国際機関等との連絡調整事務の請負,総務省,1,0000000000000570078,0,,,,過去実績なし。仕様書からの積算が必要,https://www.nyusatsu.geps.go.jp/OMP/Accepter/index.jsp?PRM=0000000000000570078
