年度,落札日,落札金額,調達案件番号,案件名,落札者,法人番号
2024年度,2025-03-24,45000000,0000000000000510767,令和７年度環境インフラ海外展開プラットフォームの運営・管理等業務[総合評価落札方式],一般社団法人海外環境協力センター,8010405010569
2024年度,2024-08-30,44000000,0000000000000467545,令和６年度廃棄物発電事業の海外展開に向けた本邦技術優位性分析調査委託業務,株式会社エイト日本技術開発,7260001000735
2026年度,2026-05-28,43863316,0000000000000598683,令和８年度コンテンツ海外展開促進事業（映像コンテンツ産業における制作現場の就業環境適正化に向けた調査）,三菱ＵＦＪリサーチ＆コンサルティング株式会社,3010401011971
2023年度,2023-08-10,43000000,0000000000000398663,インフラシステム海外展開のよりよいパートナーシップ構築に関する調査・検討業務,有限責任監査法人トーマツ,5010405001703
2025年度,2025-06-24,42724930,0000000000000528694,07-0049-0109　インドにおける我が国ICT企業のグローバル展開促進（インド・モバイル・コングレス2025出展）に関する調査研究の請負,株式会社ＪＴＢコミュニケーションデザイン,2010701023536
2023年度,2024-03-04,42693000,0000000000000434968,令和５年度補正我が国の文化芸術コンテンツ・スポーツ産業の海外展開促進事業（我が国企業のデザイン資源を活用した海外展開促進事業）,株式会社アブストラクトエンジン,5010401063400
2023年度,2024-03-21,42000000,0000000000000439917,令和６年度環境インフラ海外展開プラットフォームの運営・管理等業務[総合評価落札方式],一般社団法人海外環境協力センター,8010405010569
2023年度,2023-09-01,40974069,0000000000000400599,05-0042-0085CEATEC 2023におけるウクライナパビリオンの展示等に係る業務の請負,アイ・シー・ネット株式会社,6030001000271
2026年度,2026-06-24,40897282,0000000000000600396,08-0049-0110 インドにおける我が国ICT企業のグローバル展開促進（インド・モバイル・コングレス2026出展）に関する調査研究の請負,株式会社ＪＴＢコミュニケーションデザイン,2010701023536
2023年度,2024-01-23,40000000,0000000000000418807,05-0049-0300 北米・欧州・中南米・南アジア・アジア大洋州の主要国におけるデジタルインフラの海外展開の規模拡大にむけた調査の請負,ＰｗＣコンサルティング合同会社,1010401023102
2024年度,2024-11-28,39600000,0000000000000417189,訪日外国人査証ホットラインの設置及び運営業務,株式会社ＢＲＩＤＧＥ　ＭＵＬＴＩＬＩＮＧＵＡＬ　ＳＯＬＵＴＩＯＮＳ,5011101058228
2024年度,2025-03-21,38988000,0000000000000486159,訪日外国人査証ホットラインの設置及び運営業務,株式会社ＢＲＩＤＧＥ　ＭＵＬＴＩＬＩＮＧＵＡＬ　ＳＯＬＵＴＩＯＮＳ,5011101058228
2025年度,2025-04-01,37800000,0000000000000513320,災害・危機管理通報サービスの海外展開に関する実証・調査,株式会社ＮＴＴデータ,6010601062093
2024年度,2024-06-17,37000000,0000000000000457719,我が国宇宙システムの海外展開及び国際協力に関する調査,ＰｗＣコンサルティング合同会社,1010401023102
2023年度,2023-06-01,36350000,0000000000000386601,令和５年度廃棄物発電事業の海外展開に向けた本邦技術優位性分析調査委託業務,株式会社エイト日本技術開発,7260001000735
2025年度,2026-02-27,36000000,0000000000000573110,海外で開催される展示会出展に係る運営業務委託（区分２）,株式会社電通ライブ,4010001050790
2024年度,2025-03-17,35918000,0000000000000509561,令和７年度「2025年日本国際博覧会（大阪・関西万博）」における環境省出展バーチャルパビリオン運営等業務[総合評価落札方式],ＫＤＤＩ株式会社,9011101031552
2025年度,2025-08-29,35000000,0000000000000538360,07-0049-0187　アゼルバイジャンにおける防災ICTシステムの海外展開に関する調査研究,一般社団法人北海道総合研究調査会,5430005010797
2025年度,2025-11-25,35000000,0000000000000552213,令和７年度内外一体の経済成長戦略構築にかかる国際経済調査事業（デジタル赤字構造の打破に向けたマネージドミドルウェアの海外展開に向けた政策の検討に関する調査事業）,アクセンチュア株式会社,7010401001556
2024年度,2025-03-06,35000000,0000000000000501948,07-0049-0040令和７年度デジタル分野の海外展開に向けた官民連携に関する調査研究,ＰｗＣコンサルティング合同会社,1010401023102
2023年度,2024-03-05,34317000,0000000000000429325,06-0049-0017　令和６年度デジタル分野の海外展開に向けた官民連携に関する調査研究,有限責任あずさ監査法人,3011105000996
2026年度,2026-05-29,34000000,0000000000000598644,令和８年度コンテンツ海外展開促進事業（コンテンツ海外展開のための官民連携体制構築事業）,一般財団法人デジタルコンテンツ協会,4010005018801
2025年度,2026-02-27,33900000,0000000000000573103,海外で開催される展示会出展に係る運営業務委託（区分１）,株式会社電通ライブ,4010001050790
2025年度,2025-07-11,33800000,0000000000000533217,令和７年度　海外イベントへの出展やフォーラムの開催を通じた特区制度の周知・理解促進及び制度活用促進に向けた広報等業務,合同会社デロイトトーマツ,3010001076738
2024年度,2024-10-28,32500000,0000000000000472911,令和５年度補正文化芸術コンテンツ・スポーツ産業海外展開促進事業（我が国の文化創造産業の海外需要獲得に係る影響力の分析及び海外展開戦略モデルに関する調査事業）,デロイトトーマツコンサルティング合同会社,7010001088960
2024年度,2025-03-26,32500000,0000000000000512965,タイ（バンコク）、韓国（ソウル）で開催される展示会出展に係る運営業務委託,株式会社パソナ,1010001067359
2024年度,2024-07-05,32450000,0000000000000459166,06-0042-0077コロンビアICT国際会議イベント「ANDICOM2024」への日本ブース出展に関する事務請負,株式会社オーエムシー,9011101039249
2023年度,2024-02-28,31750000,0000000000000434079,令和６年度コンテンツ海外展開促進事業（コンテンツ海外展開のための官民連携体制構築事業）,一般財団法人デジタルコンテンツ協会,4010005018801
2025年度,2025-07-28,31000000,0000000000000535480,令和７年度 防災技術等の海外展開を図るための防災セミナー等の開催業務,株式会社オリエンタルコンサルタンツ,4011001005165
2023年度,2023-10-23,30500000,0000000000000407835,令和５年度　大阪・関西万博を契機とした観光誘客モデル調査事業,株式会社リクルート,5010001149426
2024年度,2025-02-04,30450000,0000000000000490359,06-0049-0300　東南アジア及び南アジアにおけるオープンRANの海外展開に向けた調査の請負,日本工営エナジーソリューションズ株式会社,2010001234643
2025年度,2025-05-12,30000000,0000000000000520873,令和6年度補正対内直接投資促進・海外展開支援事業（戦略的誘致推進に向けたグローバル・サプライチェーン調査）,ＥＹストラテジー・アンド・コンサルティング株式会社,6010001107003
2024年度,2024-12-09,30000000,0000000000000480680,06-0049-0255コンゴ民主共和国における母子保健DXプラットフォームと通信インフラのパッケージ海外展開に関する実証実験の請負,株式会社ＳＯＩＫ,8360001026281
2024年度,2024-10-08,29912273,0000000000000472629,米国（デンバー・コロラド州）で開催される展示会出展に係る運営業務委託,株式会社ジェイアール東日本企画,7011001029649
2024年度,2024-07-24,29653840,0000000000000463091,令和５年度補正文化芸術コンテンツ・スポーツ産業海外展開促進事業（クリエイティブ分野におけるヒット作を生む教育プログラムの形成に向けた調査実証事業）,株式会社ユーザベース,1010001230222
2026年度,2026-05-01,29000000,0000000000000594960,令和８年度国際環境協力及び環境インフラ海外展開推進業務[総合評価落札方式],一般社団法人海外環境協力センター,8010405010569
2025年度,2025-12-19,28500000,0000000000000550253,スペイン（バルセロナ）における日本産酒類のプロモーション業務及び展示会出展に係る運営業務委託,アデコ株式会社,8010401001563
2025年度,2025-11-14,28000000,0000000000000549103,07-0049-0244　Beyond 5Gなどの移動通信システムの社会実装・海外展開を加速するためのビジネス展開志向型の知財・国際標準化戦略に関する調査等の請負,株式会社三菱総合研究所,6010001030403
2026年度,2026-04-06,27470000,0000000000000590052,令和８年度　防災産業の海外展開に関する戦略の検討、官民連携体制の構築に関する業務,パシフィックコンサルタンツ株式会社,8013401001509
2025年度,2025-07-23,27200000,0000000000000528257,令和7年度「準天頂衛星システムの海外展開及びキャパシティビルディングに関する調査」,宇宙サービスイノベーションラボ事業協同組合,8010005033375
2025年度,2026-03-26,27102900,0000000000000580491,07-0049-0358　「AI for Good Global Summit 2026」への日本ブース出展を通じたAI分野のスタートアップのグローバル展開促進に関する調査研究の請,一般財団法人日本ＩＴＵ協会,9010005016684
2025年度,2025-11-14,27077777,0000000000000550218,ベルギー（コルトレイク）で開催される展示会出展に係る運営業務委託,株式会社パソナ,1010001067359
2023年度,2024-03-06,27035756,0000000000000428377,訪日外国人消費動向調査の集計・分析に係る業務,公益財団法人日本交通公社,5010005018866
2026年度,2026-04-14,26500000,0000000000000591061,北米及び南米で開催される展示会出展に係る運営業務委託（区分１:米国（フロリダ州・マイアミ））,株式会社電通ライブ,4010001050790
2025年度,2025-07-23,26500000,0000000000000534090,電波システム海外展開プロジェクト案件発掘調査及び支援（太平洋島嶼国）,一般財団法人航空保安無線システム協会,6010005012249
2025年度,2025-11-27,26500000,0000000000000550674,07-0049-0254　放送・配信コンテンツ産業の競争力強化や海外展開の推進等に関する調査の請負,株式会社三菱総合研究所,6010001030403
2025年度,2026-03-12,26325000,0000000000000581552,インバウンド消費動向調査の集計・分析に係る業務,株式会社エイジェック,3011101036128
2024年度,2024-11-13,26000000,0000000000000477910,令和６年度内外一体の経済成長戦略構築にかかる国際経済調査事業（現下の世界経済情勢を踏まえた我が国企業の海外展開の実態及び課題把握に関する調査研究）,合同会社デロイトトーマツ,3010001076738
2024年度,2024-09-04,25848818,0000000000000470489,官公庁船分野の海外展開に向けた環境整備の高度化に係る業務,一般財団法人日本海事協会,7010005016678
2024年度,2025-02-21,25320250,0000000000000502368,令和６年度補正クリエイター事業者支援事業（我が国企業のデザイン資源を活用した海外展開促進事業）,株式会社アブストラクトエンジン,5010401063400
2026年度,2026-04-14,25300000,0000000000000591062,北米及び南米で開催される展示会出展に係る運営業務委託（区分２:ブラジル（サンパウロ））,株式会社電通ライブ,4010001050790
2025年度,2025-11-07,24000000,0000000000000549318,令和７年度　防災産業の海外展開に向けた戦略の検討、官民連絡体制の構築及び防災技術の広報に関する業務,株式会社三菱総合研究所,6010001030403
2026年度,2026-07-29,23500000,0000000000000610812,令和8年度　防災技術等の海外展開を図るための防災セミナー開催等に係る業務,株式会社乃村工藝社,4010401023652
2023年度,2023-11-08,22043663,0000000000000410051,令和５年度内外一体の経済成長戦略構築にかかる国際経済調査事業（現下の世界経済情勢を踏まえた我が国企業の海外展開の実態及び課題把握に関する調査研究）,株式会社東京商工リサーチ,5010001134287
2024年度,2024-08-28,22000000,0000000000000466891,電波システム海外展開プロジェクト案件発掘調査及び支援（太平洋島嶼国）,一般財団法人航空保安無線システム協会,6010005012249
2023年度,2023-09-25,21800000,0000000000000404914,宇宙システムの海外展開に関する調査,ＰｗＣコンサルティング合同会社,1010401023102
2024年度,2024-09-30,21694500,0000000000000472541,新規インフラシステム海外展開戦略におけるKPI設定に係る検討業務,株式会社野村総合研究所,4010001054032
2025年度,2026-03-19,21220000,0000000000000584776,海外で開催される展示会出展に係る運営業務委託（区分２：インド（ムンバイ））,株式会社エイチ・アイ・エス,6011101002696
2024年度,2024-07-30,19500000,0000000000000462381,令和６年度我が国循環産業海外展開事業化促進のための研修企画・運営業務[総合評価落札方式],一般財団法人日本環境衛生センター,2020005010230
2025年度,2025-09-25,19060000,0000000000000544238,官公庁船海外展開の深化に向けた調査,商船三井マリテックス株式会社,8010401005309
2024年度,2025-03-04,19000000,0000000000000502955,令和７年度我が国循環産業海外展開事業化促進のための研修企画・運営業務[総合評価落札方式],一般財団法人日本環境衛生センター,2020005010230
2024年度,2025-03-12,19000000,0000000000000514621,インバウンド消費動向調査の集計・分析に係る業務,株式会社エイジェック,3011101036128
2025年度,2025-08-08,18660000,0000000000000536545,【特許庁】令和７年度産業財産権制度各国比較調査研究等事業 「知的財産を活用した海外展開支援策の在り方に関する調査研究」,三菱ＵＦＪリサーチ＆コンサルティング株式会社,3010401011971
2023年度,2023-11-17,18470000,0000000000000410719,ベトナムで開催される展示会出展に係る運営業務委託,株式会社電通ライブ,4010001050790
2023年度,2024-03-07,18178490,0000000000000431223,令和５年度フードテックを活用した事業化・海外展開支援委託事業（伴走支援手法の検証、海外展示会等への出展等における成果・課題の整理・分析）,株式会社ＮＴＴデータ経営研究所,1010001143390
2026年度,2026-08-05,18177742,0000000000000610016,消費者参加型イベントへの出展及び食品安全に関する啓発のための企画・運営業務,吉本興業株式会社,2120001126730
2025年度,2026-02-24,18167442,0000000000000570143,令和８年度コンテンツ海外展開促進事業 （アクセシブルな出版書籍市場の環境整備に関する調査）,三菱ＵＦＪリサーチ＆コンサルティング株式会社,3010401011971
2025年度,2025-06-20,18000000,0000000000000529237,インド（ムンバイ）で開催される展示会出展に係る運営業務委託,株式会社横浜エージェンシー＆コミュニケーションズ,7020001024741
2023年度,2023-12-21,17967000,0000000000000415331,05-0049-0286「LEAP 2024」への日本ブース出展を通じた我が国ICT 企業のグローバル展開促進の請負,株式会社ＪＴＢコミュニケーションデザイン,2010701023536
2026年度,2026-06-19,17934909,0000000000000603719,令和８年度　海外イベントへの出展を通じた特区制度の周知・理解促進及び制度活用促進に向けた広報等業務,株式会社ＪＴＢコミュニケーションデザイン,2010701023536
2023年度,2023-12-21,17800000,0000000000000415123,05-0049-0285放送コンテンツの海外展開等の状況に関する調査,デロイトトーマツコンサルティング合同会社,7010001088960
2024年度,2025-02-21,17000000,0000000000000502250,令和６年度補正クリエイター事業者支援事業（音楽産業における海外展開データ調査・データ把握体制構築事業）,株式会社三菱総合研究所,6010001030403
2024年度,2024-04-03,16581864,0000000000000441237,令和６年度食産業の戦略的海外展開支援委託事業（節水灌漑・土壌微生物活用等による輸出用米生産体系構築と輸出可能性調査）,アイ・シー・ネット株式会社,6030001000271
2025年度,2025-12-26,16500000,0000000000000555877,07-0049-0285 オープンRAN市場における我が国のRU機器の海外展開に向けた調査請負,株式会社ＯＲＥＸ　ＳＡＩ,2020001156580
2024年度,2024-07-25,16385262,0000000000000463291,令和５年度補正文化芸術コンテンツ・スポーツ産業海外展開促進事業（地域におけるアートプロジェクトの推進によるアートと経済社会の好循環構築に係る実証事業）,一般財団法人カルチャー・ヴィジョン・ジャパン,8010005023608
2024年度,2024-09-19,16115000,0000000000000469656,国際展示会出展業務請負,株式会社ステージ,3013301015869
2025年度,2026-03-09,16000000,0000000000000576590,令和８年度我が国循環産業海外展開事業化促進のための研修企画・運営業務[総合評価落札方式],一般財団法人日本環境衛生センター,2020005010230
2024年度,2024-05-23,16000000,0000000000000451478,親子参加型イベントにおける食品安全に係る消費者啓発のための企画出展に関する業務,吉本興業株式会社,2120001126730
2024年度,2025-02-06,16000000,0000000000000492171,令和６年度第12回アジア太平洋３R・循環経済推進フォーラム関連イベント・国際展示会及びG7資源効率性アライアンス会議の開催支援業務[総合評価落札方式],一般社団法人海外環境協力センター,8010405010569
2023年度,2023-11-01,15280000,0000000000000406956,令和５年度質の高いエネルギーインフラの海外展開に向けた事業実施可能性調査事業（インフラ分野における我が国企業の強みに係る調査）,ボストン・コンサルティング・グループ合同会社,2010001029085
2026年度,2026-06-05,15104240,0000000000000598010,08-0049-0104 コーカサス地域及び中央アジアにおける医療ICTシステムの海外展開に向けた調査研究の請負,フォーティエンスコンサルティング株式会社,9010601030238
2026年度,2026-05-28,15000000,0000000000000593722,令和７年度補正対内直接投資促進・海外展開支援事業（戦略的誘致促進に向けたグローバル企業実態調査）,ＥＹストラテジー・アンド・コンサルティング株式会社,6010001107003
2023年度,2023-07-31,14830000,0000000000000399132,国外展示会（ＤＵＢＡＩ　ＡＩＲＳＨＯＷ　２０２３）参加役務,株式会社ノイ,1011001018228
2025年度,2025-07-25,14800000,0000000000000532612,ポーランド（ワルシャワ）で開催される展示会出展等に係る運営業務委託,株式会社電通ライブ,4010001050790
2024年度,2025-01-23,14739100,0000000000000493782,令和５年度２０２５年日本国際博覧会出展事業（大阪・関西万博の機運醸成等調査事業）,東武トップツアーズ株式会社,4013201004021
2025年度,2026-03-03,14700000,0000000000000571717,08-0049-0048　SET EXPO 2026における日本パビリオン出展を通じたブラジルTV3.0市場への我が国の放送・通信関連技術の展開促進に関する調査研究の請負,株式会社オーエムシー,9011101039249
2024年度,2024-09-10,14500000,0000000000000466833,06-0049-0172　放送コンテンツの海外展開に関する実態・動向調査,ＰｗＣコンサルティング合同会社,1010401023102
2026年度,2026-08-04,14160100,0000000000000611952,国内で開催される展示会出展に係る運営業務委託,株式会社ケィビープランニングインターナショナル,6011001037231
2023年度,2023-04-26,13980000,0000000000000374083,令和５年度食産業の戦略的海外展開支援委託事業（グローバル・フードバリューチェーン推進官民協議会の運営）,株式会社ＪＴＢ,8010701012863
2024年度,2025-03-18,13628851,0000000000000512913,国宝・重要文化財（美術工芸品）等の展示・返却業務　一式,日本通運株式会社,4010401022860
2024年度,2025-01-23,13600000,0000000000000485736,令和６年度輸出環境整備推進委託事業（農林水産業・食品関連産業におけるインバウンド需要と消費実態の分析）,ＥＹストラテジー・アンド・コンサルティング株式会社,6010001107003
2023年度,2023-09-06,13500000,0000000000000403706,訪日外国人旅行者の受入環境改善に向けた企画乗車券の案内性向上の調査検討業務,株式会社オリエンタルコンサルタンツ,4011001005165
2023年度,2023-06-12,13400000,0000000000000388332,05-0042-0051SET EXPO 2023 における日本パビリオンの展示等に係る業務の請負,株式会社オーエムシー,9011101039249
2023年度,2024-01-15,13400000,0000000000000421297,令和５年度コンテンツ海外展開促進事業（ファッション領域の持続的発展に向けたファッションローの普及促進事業）」,リンクタイズ株式会社,1011001067737
2024年度,2025-02-17,13381142,0000000000000499755,令和６年度補正クリエイター事業者支援事業（展示会産業の国際化のための実態把握等に関する調査研究）,株式会社マイス・ジャパン,8010001126637
2025年度,2025-06-17,13127840,0000000000000527497,07-0042-0081　SET EXPO 2025における日本パビリオンの展示等に係る業務の請負,東武トップツアーズ株式会社,4013201004021
2025年度,2025-08-28,13000000,0000000000000541732,ジャパンモビリティショー２０２５ブース出展及び運営に関する業務,株式会社住商アビーム自動車総合研究所,7010001085099
2025年度,2026-03-18,12999800,0000000000000581746,令和7年度日本発フードテックを活用した事業の海外展開支援委託事業（海外販路開拓のための支援策の検証及び課題の整理・分析）,ＣＩＣ　Ｊａｐａｎ　Ｉｎｎｏｖａｔｉｏｎ　Ｓｅｒｖｉｃｅｓ合同会社,1010403031136
2024年度,2025-02-26,12800000,0000000000000503396,07-0042-0029  訪日外国人向けインターネット広告掲載による注意喚起の請負,株式会社日本廣告社,1011101048439
